IPCC_annex,C_group_IM24_sh,Country_code_A3,Name,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,Substance,fossil_bio,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022,Y_2023,Y_2024
Non-Annex_I,Southern_Africa,BWA,Botswana,2.F,Product Uses as Substitutes for Ozone Depleting Substances,HFC-245fa,fossil,0,0,0,0,0,0,0,0,0,0,0,0,9.72486E-06,0.001111148,0.001015496,0.001077346,0.002166742,0.003035473,0.004529396,0.005721425,0.006586915,0.006942856,0.007298677,0.007111125,0.007566272,0.008257992,0.008531351,0.009401451,0.009943048,0.010504733,0.011162527,0.011749553,0.012351721,0.012967384,0.013576299
Non-Annex_I,Southern_Africa,BWA,Botswana,2.F,Product Uses as Substitutes for Ozone Depleting Substances,HFC-32,fossil,0,0,0,0,0,0,0,0,0,0.000301002,0.000602003,0.00090295,0.001203875,0.001504787,0.001805685,0.001989119,0.001585276,0.001610204,0.001635133,0.001660062,0.003413774,0.002645998,0.001974513,0.001922585,0.002563892,0.003249375,0.003249375,0.003249375,0.003249375,0.003249375,0.003249375,0.003249375,0.003249375,0.003249375,0.003249375
Non-Annex_I,Southern_Africa,BWA,Botswana,2.F,Product Uses as Substitutes for Ozone Depleting Substances,HFC-365mfc,fossil,0,0,0,0,0,0,0,0,0,4.17877E-05,8.35753E-05,0.000125363,0.000167151,0.000208938,0.000236853,0.000266999,0.000670773,0.001024596,0.001586146,0.002116035,0.002495697,0.002621114,0.00286843,0.003015848,0.003068605,0.00300726,0.003097823,0.003266733,0.003537731,0.003714555,0.003920132,0.004137932,0.004337998,0.004545813,0.004749754
Non-Annex_I,Western_Africa,CAF,Central African Republic,2.F,Product Uses as Substitutes for Ozone Depleting Substances,HFC-125,fossil,0,0,0,0,0,0,0,0,3.99419E-05,0.000877671,0.002404069,0.004103967,0.005883244,0.007697814,0.009906581,0.012287514,0.012675398,0.012119563,0.01215307,0.012523129,0.011107105,0.010715205,0.01100339,0.011531772,0.012060154,0.012588536,0.013955931,0.015253042,0.01675567,0.018144715,0.019540976,0.020970287,0.02237516,0.023785308,0.025192818
Non-Annex_I,Western_Africa,CAF,Central African Republic,2.F,Product Uses as Substitutes for Ozone Depleting Substances,HFC-134a,fossil,6.52107E-05,0.000262958,0.000349888,0.000436178,0.001479314,0.00252245,0.003565586,0.004608722,0.005651859,0.006694995,0.015308614,0.021114079,0.025622664,0.030758979,0.036610663,0.043572253,0.044492697,0.045413141,0.046333584,0.047254028,0.048174472,0.049094915,0.050015359,0.050935802,0.059193132,0.070602985,0.082872103,0.09338585,0.106792059,0.118855084,0.130849411,0.143337264,0.155518999,0.167740304,0.179941824
Non-Annex_I,Western_Africa,CAF,Central African Republic,2.F,Product Uses as Substitutes for Ozone Depleting Substances,HFC-143a,fossil,0,0,0,4.85034E-05,0.000121947,0.000283331,0.000599505,0.000938258,0.001417998,0.00200012,0.002642889,0.003231819,0.003904089,0.004641106,0.005252411,0.006445369,0.0070825,0.007463119,0.00793669,0.008071165,0.007936492,0.008205859,0.008475226,0.008744593,0.00901396,0.009283327,0.010834396,0.012656459,0.0148978,0.016769291,0.018747589,0.020777966,0.022738021,0.024727598,0.026702414
Non-Annex_I,Western_Africa,CAF,Central African Republic,2.F,Product Uses as Substitutes for Ozone Depleting Substances,HFC-152a,fossil,1.47631E-05,0.001618457,0.003182334,0.004660731,0.006426413,0.00817319,0.009915526,0.011528973,0.013352744,0.015029692,0.016143901,0.015218677,0.016233289,0.017177858,0.017023243,0.015448399,0.018328124,0.021207849,0.024087574,0.026967299,0.029279446,0.029811801,0.028655018,0.029505175,0.029777982,0.029645843,0.02958533,0.03160893,0.033051103,0.03418619,0.03571981,0.037090103,0.038436436,0.039853185,0.041234726
Non-Annex_I,Western_Africa,CAF,Central African Republic,2.F,Product Uses as Substitutes for Ozone Depleting Substances,HFC-227ea,fossil,0,0,0,0,0,1.89871E-05,7.92789E-05,0.000160326,0.000315244,0.000487422,0.000752173,0.001029306,0.001330148,0.001649069,0.001940483,0.001981095,0.00217504,0.002269604,0.002286154,0.002347103,0.002418971,0.002389101,0.002345874,0.002446923,0.002569957,0.002667792,0.002789762,0.002882023,0.003021751,0.003139737,0.003256396,0.003381187,0.003500999,0.003621419,0.003741535
Non-Annex_I,Western_Africa,CAF,Central African Republic,2.F,Product Uses as Substitutes for Ozone Depleting Substances,HFC-245fa,fossil,0,0,0,0,0,0,0,0,0,0,0,0,1.06089E-05,0.001212161,0.001107814,0.001175286,0.002363718,0.003311425,0.004941159,0.006241554,0.007185725,0.007574025,0.007962194,0.007757591,0.008254115,0.009008719,0.009306929,0.010256129,0.010846962,0.01145971,0.012177303,0.012817695,0.013474606,0.014146237,0.014810509
Non-Annex_I,Western_Africa,CAF,Central African Republic,2.F,Product Uses as Substitutes for Ozone Depleting Substances,HFC-32,fossil,0,0,0,0,0,0,0,0,0,0.000328365,0.000656731,0.000985037,0.001313318,0.001641586,0.001969838,0.002169948,0.001729391,0.001756587,0.001783782,0.001810977,0.003724117,0.002886543,0.002154014,0.002097365,0.002796973,0.003544773,0.003544773,0.003544773,0.003544773,0.003544773,0.003544773,0.003544773,0.003544773,0.003544773,0.003544773
Non-Annex_I,Western_Africa,CAF,Central African Republic,2.F,Product Uses as Substitutes for Ozone Depleting Substances,HFC-365mfc,fossil,0,0,0,0,0,0,0,0,0,4.55865E-05,9.11731E-05,0.00013676,0.000182346,0.000227933,0.000258385,0.000291272,0.000731753,0.001117742,0.001730341,0.002308402,0.002722578,0.002859397,0.003129197,0.003290016,0.003347569,0.003280647,0.003379443,0.003563709,0.003859343,0.004052242,0.004276508,0.004514108,0.004732362,0.004959069,0.00518155
