Flow,Product,Region,Energy
f2_IMPORTS,p27_REFINGAS,01_KOR,0.0
f2_IMPORTS,p28_ETHANE,01_KOR,0.0
f2_IMPORTS,p29_LPG,01_KOR,8968.7758
f2_IMPORTS,p30_NONBIOGASO,01_KOR,16.2739
f2_IMPORTS,p31_AVGAS,01_KOR,0.3963
f2_IMPORTS,p32_JETGAS,01_KOR,0.0
f2_IMPORTS,p33_NONBIOJETK,01_KOR,0.0
f2_IMPORTS,p34_OTHKERO,01_KOR,4.6744
f2_IMPORTS,p35_NONBIODIES,01_KOR,239.19
f2_IMPORTS,p36_RESFUEL,01_KOR,4836.4746
f2_IMPORTS,p37_NAPHTHA,01_KOR,27459.925
f2_IMPORTS,p38_WHITESP,01_KOR,0.3934
f2_IMPORTS,p39_LUBRIC,01_KOR,4.4275
f2_IMPORTS,p40_BITUMEN,01_KOR,0.0
f2_IMPORTS,p41_PARWAX,01_KOR,0.0
f2_IMPORTS,p42_PETCOKE,01_KOR,0.0
f2_IMPORTS,p43_ONONSPEC,01_KOR,4.4397
f2_IMPORTS,p44_INDWASTE,01_KOR,0.0
f2_IMPORTS,p45_MUNWASTER,01_KOR,0.0
f2_IMPORTS,p46_MUNWASTEN,01_KOR,0.0
f2_IMPORTS,p47_PRIMSBIO,01_KOR,0.0
f2_IMPORTS,p48_BIOGASES,01_KOR,0.0
f2_IMPORTS,p49_BIOGASOL,01_KOR,0.0
f2_IMPORTS,p50_BIOJETKERO,01_KOR,0.0
f2_IMPORTS,p51_BIODIESEL,01_KOR,0.0
f2_IMPORTS,p52_OBIOLIQ,01_KOR,0.0
f2_IMPORTS,p53_RENEWNS,01_KOR,0.0
f2_IMPORTS,p54_CHARCOAL,01_KOR,0.0
f2_IMPORTS,p55_NUCLEAR,01_KOR,0.0
f2_IMPORTS,p56_HYDRO,01_KOR,0.0
f2_IMPORTS,p57_GEOTHERM,01_KOR,0.0
f2_IMPORTS,p58_SOLARPV,01_KOR,0.0
f2_IMPORTS,p59_SOLARTH,01_KOR,0.0
f2_IMPORTS,p60_TIDE,01_KOR,0.0
f2_IMPORTS,p61_WIND,01_KOR,0.0
f2_IMPORTS,p62_OTHER,01_KOR,0.0
f2_IMPORTS,p63_ELECTR,01_KOR,0.0
f2_IMPORTS,p64_HEAT,01_KOR,0.0
f2_IMPORTS,p65_HEATNS,01_KOR,0.0
f2_IMPORTS,p66_TOTAL,01_KOR,316117.9864
f2_IMPORTS,p67_MANGAS,01_KOR,0.0
f2_IMPORTS,p68_MRENEW,01_KOR,0.0
f3_EXPORTS,p1_HARDCOAL,01_KOR,0.0
f3_EXPORTS,p2_BROWN,01_KOR,0.0
f3_EXPORTS,p3_ANTCOAL,01_KOR,0.0
f3_EXPORTS,p4_COKCOAL,01_KOR,0.0
f3_EXPORTS,p5_BITCOAL,01_KOR,0.0
f3_EXPORTS,p6_SUBCOAL,01_KOR,0.0
f3_EXPORTS,p7_LIGNITE,01_KOR,0.0
f3_EXPORTS,p8_PATFUEL,01_KOR,0.0
f3_EXPORTS,p9_OVENCOKE,01_KOR,0.0
f3_EXPORTS,p10_GASCOKE,01_KOR,0.0
f3_EXPORTS,p11_COALTAR,01_KOR,0.0
f3_EXPORTS,p12_BKB,01_KOR,0.0
f3_EXPORTS,p13_GASWKSGS,01_KOR,0.0
f3_EXPORTS,p14_COKEOVGS,01_KOR,0.0
f3_EXPORTS,p15_BLFURGS,01_KOR,0.0
f3_EXPORTS,p16_OGASES,01_KOR,0.0
f3_EXPORTS,p17_PEAT,01_KOR,0.0
f3_EXPORTS,p18_PEATPROD,01_KOR,0.0
f3_EXPORTS,p19_OILSHALE,01_KOR,0.0
f3_EXPORTS,p20_NATGAS,01_KOR,0.0
f3_EXPORTS,p21_CRNGFEED,01_KOR,0.0
f3_EXPORTS,p22_CRUDEOIL,01_KOR,0.0
f3_EXPORTS,p23_NGL,01_KOR,0.0
f3_EXPORTS,p24_REFFEEDS,01_KOR,-52.7875
f3_EXPORTS,p25_ADDITIVE,01_KOR,-59.3089
f3_EXPORTS,p26_NONCRUDE,01_KOR,0.0
f3_EXPORTS,p27_REFINGAS,01_KOR,0.0
f3_EXPORTS,p28_ETHANE,01_KOR,0.0
f3_EXPORTS,p29_LPG,01_KOR,-543.0711
f3_EXPORTS,p30_NONBIOGASO,01_KOR,-10956.2891
f3_EXPORTS,p31_AVGAS,01_KOR,-22.5205
f3_EXPORTS,p32_JETGAS,01_KOR,0.0
f3_EXPORTS,p33_NONBIOJETK,01_KOR,-15368.2782
f3_EXPORTS,p34_OTHKERO,01_KOR,-552.2396
f3_EXPORTS,p35_NONBIODIES,01_KOR,-26659.4846
f3_EXPORTS,p36_RESFUEL,01_KOR,-2695.0117
f3_EXPORTS,p37_NAPHTHA,01_KOR,-5751.7548
f3_EXPORTS,p38_WHITESP,01_KOR,-161.7728
f3_EXPORTS,p39_LUBRIC,01_KOR,-2038.3863
f3_EXPORTS,p40_BITUMEN,01_KOR,-3115.2958
f3_EXPORTS,p41_PARWAX,01_KOR,0.0
f3_EXPORTS,p42_PETCOKE,01_KOR,0.0
f3_EXPORTS,p43_ONONSPEC,01_KOR,-1348.9758
f3_EXPORTS,p44_INDWASTE,01_KOR,0.0
f3_EXPORTS,p45_MUNWASTER,01_KOR,0.0
f3_EXPORTS,p46_MUNWASTEN,01_KOR,0.0
f3_EXPORTS,p47_PRIMSBIO,01_KOR,0.0
f3_EXPORTS,p48_BIOGASES,01_KOR,0.0
f3_EXPORTS,p49_BIOGASOL,01_KOR,0.0
f3_EXPORTS,p50_BIOJETKERO,01_KOR,0.0
f3_EXPORTS,p51_BIODIESEL,01_KOR,0.0
f3_EXPORTS,p52_OBIOLIQ,01_KOR,0.0
f3_EXPORTS,p53_RENEWNS,01_KOR,0.0
f3_EXPORTS,p54_CHARCOAL,01_KOR,0.0
f3_EXPORTS,p55_NUCLEAR,01_KOR,0.0
f3_EXPORTS,p56_HYDRO,01_KOR,0.0
f3_EXPORTS,p57_GEOTHERM,01_KOR,0.0
f3_EXPORTS,p58_SOLARPV,01_KOR,0.0
f3_EXPORTS,p59_SOLARTH,01_KOR,0.0
f3_EXPORTS,p60_TIDE,01_KOR,0.0
f3_EXPORTS,p61_WIND,01_KOR,0.0
f3_EXPORTS,p62_OTHER,01_KOR,0.0
f3_EXPORTS,p63_ELECTR,01_KOR,0.0
f3_EXPORTS,p64_HEAT,01_KOR,0.0
f3_EXPORTS,p65_HEATNS,01_KOR,0.0
f3_EXPORTS,p66_TOTAL,01_KOR,-69325.1767
f3_EXPORTS,p67_MANGAS,01_KOR,0.0
f3_EXPORTS,p68_MRENEW,01_KOR,0.0
f4_MARBUNK,p1_HARDCOAL,01_KOR,0.0
f4_MARBUNK,p2_BROWN,01_KOR,0.0
f4_MARBUNK,p3_ANTCOAL,01_KOR,0.0
f4_MARBUNK,p4_COKCOAL,01_KOR,0.0
f4_MARBUNK,p5_BITCOAL,01_KOR,0.0
f4_MARBUNK,p6_SUBCOAL,01_KOR,0.0
f4_MARBUNK,p7_LIGNITE,01_KOR,0.0
f4_MARBUNK,p8_PATFUEL,01_KOR,0.0
f4_MARBUNK,p9_OVENCOKE,01_KOR,0.0
f4_MARBUNK,p10_GASCOKE,01_KOR,0.0
f4_MARBUNK,p11_COALTAR,01_KOR,0.0
f4_MARBUNK,p12_BKB,01_KOR,0.0
f4_MARBUNK,p13_GASWKSGS,01_KOR,0.0
f4_MARBUNK,p14_COKEOVGS,01_KOR,0.0
f4_MARBUNK,p15_BLFURGS,01_KOR,0.0
f4_MARBUNK,p16_OGASES,01_KOR,0.0
f4_MARBUNK,p17_PEAT,01_KOR,0.0
f4_MARBUNK,p18_PEATPROD,01_KOR,0.0
f4_MARBUNK,p19_OILSHALE,01_KOR,0.0
f4_MARBUNK,p20_NATGAS,01_KOR,0.0
f4_MARBUNK,p21_CRNGFEED,01_KOR,0.0
f4_MARBUNK,p22_CRUDEOIL,01_KOR,0.0
f4_MARBUNK,p23_NGL,01_KOR,0.0
f4_MARBUNK,p24_REFFEEDS,01_KOR,0.0
f4_MARBUNK,p25_ADDITIVE,01_KOR,0.0
f4_MARBUNK,p26_NONCRUDE,01_KOR,0.0
f4_MARBUNK,p27_REFINGAS,01_KOR,0.0
f4_MARBUNK,p28_ETHANE,01_KOR,0.0
f4_MARBUNK,p29_LPG,01_KOR,0.0
f4_MARBUNK,p30_NONBIOGASO,01_KOR,0.0
f4_MARBUNK,p31_AVGAS,01_KOR,0.0
f4_MARBUNK,p32_JETGAS,01_KOR,0.0
f4_MARBUNK,p33_NONBIOJETK,01_KOR,0.0
f4_MARBUNK,p34_OTHKERO,01_KOR,0.0
f4_MARBUNK,p35_NONBIODIES,01_KOR,-1486.5373
f4_MARBUNK,p36_RESFUEL,01_KOR,-6832.0539
f4_MARBUNK,p37_NAPHTHA,01_KOR,0.0
f4_MARBUNK,p38_WHITESP,01_KOR,0.0
f4_MARBUNK,p39_LUBRIC,01_KOR,0.0
f4_MARBUNK,p40_BITUMEN,01_KOR,0.0
f4_MARBUNK,p41_PARWAX,01_KOR,0.0
f4_MARBUNK,p42_PETCOKE,01_KOR,0.0
f4_MARBUNK,p43_ONONSPEC,01_KOR,0.0
f4_MARBUNK,p44_INDWASTE,01_KOR,0.0
f4_MARBUNK,p45_MUNWASTER,01_KOR,0.0
f4_MARBUNK,p46_MUNWASTEN,01_KOR,0.0
f4_MARBUNK,p47_PRIMSBIO,01_KOR,0.0
f4_MARBUNK,p48_BIOGASES,01_KOR,0.0
f4_MARBUNK,p49_BIOGASOL,01_KOR,0.0
f4_MARBUNK,p50_BIOJETKERO,01_KOR,0.0
f4_MARBUNK,p51_BIODIESEL,01_KOR,0.0
f4_MARBUNK,p52_OBIOLIQ,01_KOR,0.0
f4_MARBUNK,p53_RENEWNS,01_KOR,0.0
f4_MARBUNK,p54_CHARCOAL,01_KOR,0.0
f4_MARBUNK,p55_NUCLEAR,01_KOR,0.0
f4_MARBUNK,p56_HYDRO,01_KOR,0.0
f4_MARBUNK,p57_GEOTHERM,01_KOR,0.0
f4_MARBUNK,p58_SOLARPV,01_KOR,0.0
f4_MARBUNK,p59_SOLARTH,01_KOR,0.0
f4_MARBUNK,p60_TIDE,01_KOR,0.0
f4_MARBUNK,p61_WIND,01_KOR,0.0
f4_MARBUNK,p62_OTHER,01_KOR,0.0
f4_MARBUNK,p63_ELECTR,01_KOR,0.0
f4_MARBUNK,p64_HEAT,01_KOR,0.0
f4_MARBUNK,p65_HEATNS,01_KOR,0.0
f4_MARBUNK,p66_TOTAL,01_KOR,-8318.5912
f4_MARBUNK,p67_MANGAS,01_KOR,0.0
f4_MARBUNK,p68_MRENEW,01_KOR,0.0
f5_AVBUNK,p1_HARDCOAL,01_KOR,0.0
f5_AVBUNK,p2_BROWN,01_KOR,0.0
f5_AVBUNK,p3_ANTCOAL,01_KOR,0.0
f5_AVBUNK,p4_COKCOAL,01_KOR,0.0
f5_AVBUNK,p5_BITCOAL,01_KOR,0.0
f5_AVBUNK,p6_SUBCOAL,01_KOR,0.0
f5_AVBUNK,p7_LIGNITE,01_KOR,0.0
f5_AVBUNK,p8_PATFUEL,01_KOR,0.0
f5_AVBUNK,p9_OVENCOKE,01_KOR,0.0
f5_AVBUNK,p10_GASCOKE,01_KOR,0.0
f5_AVBUNK,p11_COALTAR,01_KOR,0.0
f5_AVBUNK,p12_BKB,01_KOR,0.0
f5_AVBUNK,p13_GASWKSGS,01_KOR,0.0
f5_AVBUNK,p14_COKEOVGS,01_KOR,0.0
f5_AVBUNK,p15_BLFURGS,01_KOR,0.0
f5_AVBUNK,p16_OGASES,01_KOR,0.0
f5_AVBUNK,p17_PEAT,01_KOR,0.0
f5_AVBUNK,p18_PEATPROD,01_KOR,0.0
f5_AVBUNK,p19_OILSHALE,01_KOR,0.0
f5_AVBUNK,p20_NATGAS,01_KOR,0.0
f5_AVBUNK,p21_CRNGFEED,01_KOR,0.0
f5_AVBUNK,p22_CRUDEOIL,01_KOR,0.0
f5_AVBUNK,p23_NGL,01_KOR,0.0
f5_AVBUNK,p24_REFFEEDS,01_KOR,0.0
f5_AVBUNK,p25_ADDITIVE,01_KOR,0.0
f5_AVBUNK,p26_NONCRUDE,01_KOR,0.0
f5_AVBUNK,p27_REFINGAS,01_KOR,0.0
f5_AVBUNK,p28_ETHANE,01_KOR,0.0
f5_AVBUNK,p29_LPG,01_KOR,0.0
f5_AVBUNK,p30_NONBIOGASO,01_KOR,0.0
f5_AVBUNK,p31_AVGAS,01_KOR,-0.4463
f5_AVBUNK,p32_JETGAS,01_KOR,0.0
f5_AVBUNK,p33_NONBIOJETK,01_KOR,-5632.6979
f5_AVBUNK,p34_OTHKERO,01_KOR,0.0
f5_AVBUNK,p35_NONBIODIES,01_KOR,0.0
f5_AVBUNK,p36_RESFUEL,01_KOR,0.0
f5_AVBUNK,p37_NAPHTHA,01_KOR,0.0
f5_AVBUNK,p38_WHITESP,01_KOR,0.0
f5_AVBUNK,p39_LUBRIC,01_KOR,0.0
f5_AVBUNK,p40_BITUMEN,01_KOR,0.0
f5_AVBUNK,p41_PARWAX,01_KOR,0.0
f5_AVBUNK,p42_PETCOKE,01_KOR,0.0
f5_AVBUNK,p43_ONONSPEC,01_KOR,0.0
f5_AVBUNK,p44_INDWASTE,01_KOR,0.0
f5_AVBUNK,p45_MUNWASTER,01_KOR,0.0
f5_AVBUNK,p46_MUNWASTEN,01_KOR,0.0
f5_AVBUNK,p47_PRIMSBIO,01_KOR,0.0
f5_AVBUNK,p48_BIOGASES,01_KOR,0.0
f5_AVBUNK,p49_BIOGASOL,01_KOR,0.0
f5_AVBUNK,p50_BIOJETKERO,01_KOR,0.0
f5_AVBUNK,p51_BIODIESEL,01_KOR,0.0
f5_AVBUNK,p52_OBIOLIQ,01_KOR,0.0
f5_AVBUNK,p53_RENEWNS,01_KOR,0.0
f5_AVBUNK,p54_CHARCOAL,01_KOR,0.0
f5_AVBUNK,p55_NUCLEAR,01_KOR,0.0
f5_AVBUNK,p56_HYDRO,01_KOR,0.0
f5_AVBUNK,p57_GEOTHERM,01_KOR,0.0
f5_AVBUNK,p58_SOLARPV,01_KOR,0.0
f5_AVBUNK,p59_SOLARTH,01_KOR,0.0
f5_AVBUNK,p60_TIDE,01_KOR,0.0
f5_AVBUNK,p61_WIND,01_KOR,0.0
f5_AVBUNK,p62_OTHER,01_KOR,0.0
f5_AVBUNK,p63_ELECTR,01_KOR,0.0
f5_AVBUNK,p64_HEAT,01_KOR,0.0
f5_AVBUNK,p65_HEATNS,01_KOR,0.0
f5_AVBUNK,p66_TOTAL,01_KOR,-5633.1442
f5_AVBUNK,p67_MANGAS,01_KOR,0.0
f5_AVBUNK,p68_MRENEW,01_KOR,0.0
f6_STOCKCHA,p1_HARDCOAL,01_KOR,0.0
f6_STOCKCHA,p2_BROWN,01_KOR,0.0
f6_STOCKCHA,p3_ANTCOAL,01_KOR,109.1971
f6_STOCKCHA,p4_COKCOAL,01_KOR,-176.6634
f6_STOCKCHA,p5_BITCOAL,01_KOR,-459.7285
f6_STOCKCHA,p6_SUBCOAL,01_KOR,0.0
f6_STOCKCHA,p7_LIGNITE,01_KOR,0.0
f6_STOCKCHA,p8_PATFUEL,01_KOR,0.0
f6_STOCKCHA,p9_OVENCOKE,01_KOR,0.0
f6_STOCKCHA,p10_GASCOKE,01_KOR,0.0
f6_STOCKCHA,p11_COALTAR,01_KOR,0.0
f6_STOCKCHA,p12_BKB,01_KOR,0.0
f6_STOCKCHA,p13_GASWKSGS,01_KOR,0.0
f6_STOCKCHA,p14_COKEOVGS,01_KOR,0.0
f6_STOCKCHA,p15_BLFURGS,01_KOR,0.0
f6_STOCKCHA,p16_OGASES,01_KOR,0.0
f6_STOCKCHA,p17_PEAT,01_KOR,0.0
f6_STOCKCHA,p18_PEATPROD,01_KOR,0.0
f6_STOCKCHA,p19_OILSHALE,01_KOR,0.0
f6_STOCKCHA,p20_NATGAS,01_KOR,461.1673
f6_STOCKCHA,p21_CRNGFEED,01_KOR,0.0
f6_STOCKCHA,p22_CRUDEOIL,01_KOR,-1550.4875
f6_STOCKCHA,p23_NGL,01_KOR,0.0
f6_STOCKCHA,p24_REFFEEDS,01_KOR,-147.717
f6_STOCKCHA,p25_ADDITIVE,01_KOR,-2.4952
f6_STOCKCHA,p26_NONCRUDE,01_KOR,0.0
f6_STOCKCHA,p27_REFINGAS,01_KOR,0.0
f6_STOCKCHA,p28_ETHANE,01_KOR,0.0
f6_STOCKCHA,p29_LPG,01_KOR,-72.924
f6_STOCKCHA,p30_NONBIOGASO,01_KOR,162.4191
f6_STOCKCHA,p31_AVGAS,01_KOR,2.1699
f6_STOCKCHA,p32_JETGAS,01_KOR,0.0
f6_STOCKCHA,p33_NONBIOJETK,01_KOR,-112.6764
f6_STOCKCHA,p34_OTHKERO,01_KOR,-31.4762
f6_STOCKCHA,p35_NONBIODIES,01_KOR,94.5344
f6_STOCKCHA,p36_RESFUEL,01_KOR,303.1358
f6_STOCKCHA,p37_NAPHTHA,01_KOR,417.5133
f6_STOCKCHA,p38_WHITESP,01_KOR,1.1842
f6_STOCKCHA,p39_LUBRIC,01_KOR,17.625
f6_STOCKCHA,p40_BITUMEN,01_KOR,-9.561
f6_STOCKCHA,p41_PARWAX,01_KOR,0.7834
f6_STOCKCHA,p42_PETCOKE,01_KOR,-2.7497
f6_STOCKCHA,p43_ONONSPEC,01_KOR,-21.2172
f6_STOCKCHA,p44_INDWASTE,01_KOR,0.0
f6_STOCKCHA,p45_MUNWASTER,01_KOR,0.0
f6_STOCKCHA,p46_MUNWASTEN,01_KOR,0.0
f6_STOCKCHA,p47_PRIMSBIO,01_KOR,0.0
f6_STOCKCHA,p48_BIOGASES,01_KOR,0.0
f6_STOCKCHA,p49_BIOGASOL,01_KOR,0.0
f6_STOCKCHA,p50_BIOJETKERO,01_KOR,0.0
f6_STOCKCHA,p51_BIODIESEL,01_KOR,-2.1235
f6_STOCKCHA,p52_OBIOLIQ,01_KOR,0.0
f6_STOCKCHA,p53_RENEWNS,01_KOR,0.0
f6_STOCKCHA,p54_CHARCOAL,01_KOR,0.0
f6_STOCKCHA,p55_NUCLEAR,01_KOR,0.0
f6_STOCKCHA,p56_HYDRO,01_KOR,0.0
f6_STOCKCHA,p57_GEOTHERM,01_KOR,0.0
f6_STOCKCHA,p58_SOLARPV,01_KOR,0.0
f6_STOCKCHA,p59_SOLARTH,01_KOR,0.0
f6_STOCKCHA,p60_TIDE,01_KOR,0.0
f6_STOCKCHA,p61_WIND,01_KOR,0.0
f6_STOCKCHA,p62_OTHER,01_KOR,0.0
f6_STOCKCHA,p63_ELECTR,01_KOR,0.0
f6_STOCKCHA,p64_HEAT,01_KOR,0.0
f6_STOCKCHA,p65_HEATNS,01_KOR,0.0
f6_STOCKCHA,p66_TOTAL,01_KOR,-1020.0901
f6_STOCKCHA,p67_MANGAS,01_KOR,0.0
f6_STOCKCHA,p68_MRENEW,01_KOR,-2.1235
f7_TES,p1_HARDCOAL,01_KOR,0.0
f7_TES,p2_BROWN,01_KOR,0.0
f7_TES,p3_ANTCOAL,01_KOR,2751.996
f7_TES,p4_COKCOAL,01_KOR,23202.6019
f7_TES,p5_BITCOAL,01_KOR,49385.7203
f7_TES,p6_SUBCOAL,01_KOR,4488.1506
f7_TES,p7_LIGNITE,01_KOR,0.0
f7_TES,p8_PATFUEL,01_KOR,0.0
f7_TES,p9_OVENCOKE,01_KOR,212.371
f7_TES,p10_GASCOKE,01_KOR,0.0
f7_TES,p11_COALTAR,01_KOR,0.0
f7_TES,p12_BKB,01_KOR,0.0
f7_TES,p13_GASWKSGS,01_KOR,0.0
f7_TES,p14_COKEOVGS,01_KOR,0.0
f7_TES,p15_BLFURGS,01_KOR,0.0
f7_TES,p16_OGASES,01_KOR,0.0
f7_TES,p17_PEAT,01_KOR,0.0
f7_TES,p18_PEATPROD,01_KOR,0.0
f7_TES,p19_OILSHALE,01_KOR,0.0
f7_TES,p20_NATGAS,01_KOR,48869.9172
f7_TES,p21_CRNGFEED,01_KOR,0.0
f7_TES,p22_CRUDEOIL,01_KOR,144182.2635
f7_TES,p23_NGL,01_KOR,0.0
f7_TES,p24_REFFEEDS,01_KOR,361.5479
