Region,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,CO2,CH4,N2O,CO2bio,C2F6,C3F8,C4F10,C5F12,C6F14,CF4,HCFC-141b,HCFC-142b,HFC-125,HFC-134,HFC-134a,HFC-143,HFC-143a,HFC-152a,HFC-227ea,HFC-23,HFC-236fa,HFC-245fa,HFC-32,HFC-365mfc,HFC-41,HFC-43-10-mee,NF3,SF6,c-C4F8
01_KOR,2.C,Metal Industry,7090.945131,113.074164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.4671555,0.0
01_KOR,2.D,Non-Energy Products from Fuels and Solvent Use,867.9650912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_KOR,2.E,Electronics Industry,0.0,0.0,0.0,0.0,31.957610400000004,0.40333287,0.0,0.0,0.0,478.4029122600001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91057,0.0,0.0,0.0204771513,0.0,0.0,0.0,0.0,2204.021478,0.401640678
01_KOR,2.F,Product Uses as Substitutes for Ozone Depleting Substances,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8992.4772847,0.0,0.0,199.90567323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_KOR,2.G,Other Product Manufacture and Use,0.0,0.0,0.10883921,0.0,0.1669773,0.1691,0.277886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6023.884767,0.0
01_KOR,3.A.1,Enteric Fermentation,0.0,10189.7648524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_KOR,3.A.2,Manure Management,0.0,2326.59136444,1229.7031947100002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_KOR,3.C.1,Emissions from biomass burning,0.0,2.986897844,0.7328961900000001,59.85648437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_KOR,3.C.2,Liming,44.41904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_KOR,3.C.3,Urea application,109.2142659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_KOR,3.C.4,Direct N2O Emissions from managed soils,0.0,0.0,2687.626343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_KOR,3.C.5,Indirect N2O Emissions from managed soils,0.0,0.0,677.504508555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_KOR,3.C.6,Indirect N2O Emissions from manure management,0.0,0.0,60.327144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_KOR,3.C.7,Rice cultivations,0.0,8193.5628096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
