Region,Gas_Type,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,Substance,Y_1970,Y_1971,Y_1972,Y_1973,Y_1974,Y_1975,Y_1976,Y_1977,Y_1978,Y_1979,Y_1980,Y_1981,Y_1982,Y_1983,Y_1984,Y_1985,Y_1986,Y_1987,Y_1988,Y_1989,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022,Y_2023,Y_2024
01_KOR,CO2,1.B.1,Solid Fuels,CO2,2833.00785,2833.00785,2938.711768,3663.223871,3890.214927,3844.410181,4797.710243,5241.929158,1798.234969,2755.823886,1652.71841,2032.453588,1808.79723,5149.427958,13258.87315,17342.72406,17212.67857,14847.49731,15024.42164,14273.58404,2082.37209,2372.423661,2390.573055,2579.713471,2553.929788,2604.395471,2538.779216,2392.38337,2452.373136,2436.16016,2591.493746,2512.994131,2555.184102,2416.296258,2498.686669,1184.385393,1119.743961,1461.702831,1432.769325,1445.724313,1997.281898,2262.061966,2559.531816,680.6421322,5812.931289,4223.807997,4687.4928,3044.956724,1485.159331,1692.572578,2194.824739,3332.360101,2206.867097,2366.205427,2542.486531
01_KOR,CO2,1.B.2,Oil and Natural Gas,CO2,0.007078834,0.007078834,0.007287364,0.008115201,0.007969868,0.00818275,0.009409641,0.011240066,0.012255869,0.013591652,0.012904856,0.012682075,0.012001552,0.012764907,0.013351555,0.01466879,26.8266411,23.6454095,13.75277872,20.97659547,0.025750406,0.032533641,0.040166867,0.046071433,0.049927217,0.056123754,70.97563804,25.098038,16.73510876,20.94499774,0.077427086,0.075457715,0.070989842,0.069769207,0.076049261,0.07971909,186.693721,198.7307473,571.9567031,635.1720638,1270.257308,1691.791921,1917.684644,439.6892005,192.8823135,243.7056811,671.4194763,1180.838153,934.7323638,1425.348734,2543.133427,3472.337171,4457.05081,3902.964088,4038.02455
01_KOR,CO2,2.A.1,Cement production,CO2,2855.32,3393.78,3206.06,4040.92,4366.96,4989.4,5878.6,7014.8,7459.4,8101.6,7706.4,7706.4,8860.5,10543.5,10098.0,10168.0,11656.0,12922.0,14711.2,15307.6,16882.2,19678.4,22510.8,24170.3,26883.6,29172.0,30601.6,31898.7,24571.3,25931.6,27804.6,27612.0,28860.0,30132.8,26987.1,24980.4,26784.0,26256.6,24402.4,22995.9,20343.18,20264.58,18744.8,18207.035,18207.576,20193.072,23321.88206,21864.55883,19644.23576,18903.54202,17739.87379,18615.70493,19062.95374,19039.80731,19413.13686
01_KOR,CO2,2.A.2,Lime production,CO2,56.55,57.3,62.625,68.025,71.475,74.85,81.675,44.925,44.925,44.925,157.875,149.7,149.7,149.7,149.7,149.7,149.7,149.7,170.1,170.1,172.5,180.0,180.0,187.5,187.5,187.5,193.575,199.575,205.65,211.65,217.725,223.7715,2268.0,2684.25,2680.5,2700.0,2775.0,2925.0,3000.0,0.0,0.0,3825.0,3900.0,3750.0,3825.0,3825.0,3825.0,3900.0,3900.0,3900.0,3825.0,3900.0,3825.0,3825.0,3825.0
01_KOR,CO2,2.A.3,Glass Production,CO2,1.571855,1.604395,1.63797,1.671765,1.70459,1.735655,1.764535,1.79161,1.81781,1.844485,1.872555,1.902315,1.9333,1.96477,1.995645,2.025095,2.052975,2.07942,2.104255,2.127335,2.148615,2.167935,2.18541,2.20156,2.217125,2.23265,2.248365,2.264195,2.27998,2.295415,2.310315,2.324615,2.33848,2.352165,2.366025,2.380295,2.39508,2.410255,2.42549,2.44035,2.4545,2.467835,2.480425,2.481242447,2.49307923,2.504972479,2.515066975,2.52520215,2.535378167,2.54620531,2.444357098,2.54620531,2.54620531,2.496279716,2.545226377
01_KOR,CO2,2.A.4,Other Process Uses of Carbonates,CO2,53.31912694,53.31912694,56.28289615,56.10484025,64.55073017,84.45889929,103.1605127,113.4162362,117.0359033,135.7375167,147.8030738,133.9276832,123.0686819,153.2325745,164.6948536,166.5046872,175.5538549,222.0062496,232.1865587,247.3876688,277.3331069,288.2558898,319.7693182,319.8111977,348.4595374,356.0708325,366.6198928,355.8355314,297.7263019,342.8905175,350.1292986,352.9610312,344.8500421,409.7269257,484.4037194,476.0317799,459.3605547,443.1518499,442.2297577,399.8939079,423.5176571,444.5148498,407.5972449,410.6539075,426.6083559,434.1250733,445.6614603,437.7994515,436.4705173,423.3123168,406.3798241,423.3123168,423.3123168,415.0120753,423.149567
01_KOR,CO2,2.B,Chemical Industry,CO2,1623.701883,1809.874863,1742.332012,1793.807101,1907.754641,1972.896708,2179.519088,2606.480594,3445.725634,3852.061449,3830.632979,3003.415256,2652.849923,2722.911774,2636.114761,2584.00453,2621.565315,2963.924479,3141.409284,3799.701173,5787.254521,8434.717387,11222.12455,9352.137202,10326.46949,9669.046036,10705.8597,12221.9244,12759.15028,11575.6756,11526.47123,11286.77291,11327.18236,11672.52297,11941.80242,12261.45243,12163.79084,12995.3434,13448.93489,14098.40108,14165.75931,14317.47481,15075.90789,15539.66234,15792.95332,15767.33248,16280.1813,16744.98175,16584.81578,17112.87048,22833.18301,24490.09402,24555.35889,20892.93175,21450.21608
01_KOR,CO2,2.C,Metal Industry,CO2,1192.582596,1114.196919,1218.714273,1220.407339,1131.254296,1312.203673,1425.336403,1317.903092,1253.430198,1914.574836,1404.516107,2065.226629,1624.945378,1581.516128,1812.230237,1825.641001,1859.081494,2036.481101,2336.872771,2568.834432,2432.505262,2357.432218,2612.227183,3006.854073,3041.843778,3237.301885,3919.230922,3657.637035,3382.173199,3525.514686,3637.679772,3659.143641,3732.806757,3628.594713,3889.183394,5353.598269,5425.100808,4773.655733,6005.242947,4835.819951,5090.133692,6150.778458,6378.593608,8045.978459,6596.902236,7803.924007,7010.124556,7167.492691,7272.297496,7090.945131,6642.407839,7105.669034,6595.397204,6728.140809,6525.785086
01_KOR,CO2,2.D,Non-Energy Products from Fuels and Solvent Use,CO2,227.9242858,232.6809361,238.069651,243.0358244,247.3555858,253.2665678,260.5933474,265.2085298,270.1271403,276.8053249,282.2302932,288.5878203,290.9553381,295.9944386,301.3749351,311.2696839,321.7742676,318.30109,352.6427932,407.1556397,412.4998572,374.7146616,388.8655239,372.7346739,389.2189305,396.3993725,439.9885698,735.6089142,668.3648502,713.8000156,760.7057013,748.1329232,717.4179823,781.9164225,815.2966781,826.8159343,837.6917874,725.9841849,784.2350806,810.253837,842.2569498,973.4511095,997.9431685,724.1214095,744.5309876,756.4907306,763.6058432,831.8204158,860.7384507,867.9650912,962.843192,1375.894968,1352.723251,1392.550768,1472.444487
01_KOR,CO2,3.C.2,Liming,CO2,0.0,0.0,0.0,0.0,33.31428572,98.05714289,61.60000002,62.22857145,60.97142859,37.0857143,25.77142858,19.48571429,14.45714286,28.28571429,28.28571429,31.42857144,30.80000001,44.00000001,42.74285716,42.74285716,42.74285716,33.94285715,20.74285715,28.28571429,25.14285715,25.14285715,25.14285715,62.85714288,37.71428573,27.02857144,28.28571429,26.40000001,23.25714286,23.88571429,48.40000001,23.25714286,17.60000001,19.48571429,18.85714286,18.85714286,18.85714286,18.85714286,18.85714286,39.18095239,52.38095238,45.88571429,43.16190477,52.17142858,47.77142858,44.41904762,44.62857143,55.31428572,44.83809524,44.83809524,44.83809524
01_KOR,CO2,3.C.3,Urea application,CO2,413.7570676,413.7570676,413.7570676,413.7570676,509.1427646,552.8284709,396.4713565,373.6856463,434.0284925,396.1570708,410.2999254,369.7570756,249.2285261,304.8570874,329.2142259,338.1713671,340.6856523,345.2427944,357.0285065,383.8999302,384.99993,340.6856523,356.2427924,323.7142269,331.5713683,318.999942,311.1428006,369.2856471,307.999944,285.3713767,270.1285223,293.2285181,186.999966,183.0713953,215.2856751,186.2142519,163.4285417,160.2856851,149.2856871,141.4285457,133.5714043,122.5714063,125.7142629,314.2856571,298.5713743,377.1427886,392.8570714,361.4285057,111.2571226,109.2142659,103.3999812,108.7428374,90.51426926,36.33142197,14.58302909
01_KOR,CO2,4.C,Incineration and Open Burning of Waste,CO2,135.4622939,135.4622939,142.9631959,150.6137861,158.3552915,166.1407853,174.8863436,183.6733925,192.5554999,201.6263719,210.9576932,220.1978439,229.7109843,239.4055402,249.133668,258.7817446,268.9386119,278.9946943,289.0522991,299.2819233,327.4951321,440.0243557,545.8784954,665.064,702.9803573,957.0989237,1084.555421,1202.027498,1124.077089,1311.245034,1749.889715,1848.970055,1581.172267,1593.253229,1590.284697,1365.973671,1516.816466,1348.336407,1333.298665,1296.273102,1267.908696,1399.229221,1539.751491,1570.992764,1420.457869,1542.731775,1612.364182,1619.723227,1600.144548,1604.744598,1609.117998,1614.102206,1619.052263,1618.91807,1618.783888
02_CHN,CO2,1.A.1.a,Main Activity Electricity and Heat Production,CO2,134248.713468,134248.713468,144987.789685,156221.30676500002,152790.481553,181663.146451,188013.19712599998,212142.71611399998,277253.700393,302847.235774,319111.439046,319240.18090200005,330364.23167,349066.28502,381066.69336,411099.81561,444830.81899,494302.14234,551708.16356,601470.9304899999,664498.01993,732412.1695000001,810685.0414,921604.8155,989644.64634,1083033.8458200002,1231153.21273,1210661.53853,1282879.97555,1316527.03357,1449898.40314,1531468.42452,1712769.8780399999,2026559.33151,2234207.88378,2405679.04838,2718865.35805,2965032.43973,2994502.3700900003,3177324.77463,3508848.04283,3989229.23928,4110287.08719,4382606.15137,4426238.410569999,4298463.67985,4442920.41952,4736492.61854,5102289.50084,5268367.98881,5398656.49422,5966614.52063,6095136.35958,6509718.2299999995,6600665.73861
