scenario,Region_Group,Year,Final_Growth_Rate,Final_Growth_Rate_Pct
SSP1,01_KOR,2019,0.023138021059548874,2.3138021059548874
SSP1,01_KOR,2020,-0.00700242317542199,-0.700242317542199
SSP1,01_KOR,2021,0.04612967954542846,4.612967954542846
SSP1,01_KOR,2022,0.027275645670897797,2.7275645670897797
SSP1,01_KOR,2023,0.01583014674036276,1.583014674036276
SSP1,01_KOR,2024,0.020036110183901057,2.0036110183901057
SSP1,01_KOR,2025,0.023405984325556517,2.3405984325556517
SSP1,01_KOR,2026,0.021302721237932642,2.1302721237932642
SSP1,01_KOR,2027,0.020206159334211993,2.0206159334211993
SSP1,01_KOR,2028,0.0192261803420819,1.92261803420819
SSP1,01_KOR,2029,0.018353071300491575,1.8353071300491575
SSP1,01_KOR,2030,0.017578421620382256,1.7578421620382256
SSP1,01_KOR,2031,0.016807143037631755,1.6807143037631755
SSP1,01_KOR,2032,0.016060877571011378,1.6060877571011378
SSP1,01_KOR,2033,0.015433444371316885,1.5433444371316885
SSP1,01_KOR,2034,0.014917153355243906,1.4917153355243906
SSP1,01_KOR,2035,0.014505217880236732,1.4505217880236732
SSP1,01_KOR,2036,0.014153187980352255,1.4153187980352255
SSP1,01_KOR,2037,0.013767671224325984,1.3767671224325984
SSP1,01_KOR,2038,0.013343414214886717,1.3343414214886717
SSP1,01_KOR,2039,0.012882400483448686,1.2882400483448686
SSP1,01_KOR,2040,0.012386369297157973,1.2386369297157973
SSP1,01_KOR,2041,0.012084750898498697,1.2084750898498697
SSP1,01_KOR,2042,0.011840906921580796,1.1840906921580796
SSP1,01_KOR,2043,0.011366698040605083,1.1366698040605083
SSP1,01_KOR,2044,0.010672483673878963,1.0672483673878963
SSP1,01_KOR,2045,0.0097671845718732,0.97671845718732
SSP1,01_KOR,2046,0.009000750294793969,0.9000750294793969
SSP1,01_KOR,2047,0.008486351437255069,0.8486351437255069
SSP1,01_KOR,2048,0.007936902437191362,0.7936902437191362
SSP1,01_KOR,2049,0.0073529242954788465,0.7352924295478847
SSP1,01_KOR,2050,0.006734717509955024,0.6734717509955024
SSP1,02_CHN,2019,0.05916806569153765,5.916806569153765
SSP1,02_CHN,2020,0.021785492056031863,2.1785492056031863
SSP1,02_CHN,2021,0.08534882478651684,8.534882478651685
SSP1,02_CHN,2022,0.030229175761009364,3.0229175761009364
SSP1,02_CHN,2023,0.05381413598670526,5.381413598670526
SSP1,02_CHN,2024,0.04940405880695353,4.940405880695353
SSP1,02_CHN,2025,0.04518525747401658,4.518525747401658
SSP1,02_CHN,2026,0.041578551113087725,4.1578551113087725
SSP1,02_CHN,2027,0.039110054364586144,3.9110054364586144
SSP1,02_CHN,2028,0.0372352135227223,3.72352135227223
SSP1,02_CHN,2029,0.03587216716867725,3.587216716867725
SSP1,02_CHN,2030,0.03495393451379769,3.495393451379769
SSP1,02_CHN,2031,0.03435302888538816,3.435302888538816
SSP1,02_CHN,2032,0.03355537779666129,3.355537779666129
SSP1,02_CHN,2033,0.032424943646195414,3.2424943646195414
SSP1,02_CHN,2034,0.031005402855916797,3.1005402855916797
SSP1,02_CHN,2035,0.029333282423054108,2.933328242305411
SSP1,02_CHN,2036,0.02754980969548848,2.754980969548848
SSP1,02_CHN,2037,0.026129276070926633,2.6129276070926633
SSP1,02_CHN,2038,0.02515327301140413,2.515327301140413
SSP1,02_CHN,2039,0.024578277915574542,2.4578277915574542
SSP1,02_CHN,2040,0.024366749002399102,2.43667490023991
SSP1,02_CHN,2041,0.024364171964715187,2.4364171964715187
SSP1,02_CHN,2042,0.024136287204267637,2.4136287204267637
SSP1,02_CHN,2043,0.023616873743932176,2.3616873743932176
SSP1,02_CHN,2044,0.022833138571818345,2.2833138571818345
SSP1,02_CHN,2045,0.02180919492288491,2.180919492288491
SSP1,02_CHN,2046,0.020856319786568767,2.0856319786568767
SSP1,02_CHN,2047,0.020143301724311558,2.0143301724311558
SSP1,02_CHN,2048,0.019457777305595725,1.9457777305595725
SSP1,02_CHN,2049,0.018797702026511542,1.8797702026511542
SSP1,02_CHN,2050,0.01816121108791391,1.8161211087913909
SSP1,03_JPN,2019,-0.004021692008950528,-0.4021692008950528
SSP1,03_JPN,2020,-0.04168764571467465,-4.168764571467465
SSP1,03_JPN,2021,0.02696574041872002,2.696574041872002
SSP1,03_JPN,2022,0.009419987754831993,0.9419987754831993
SSP1,03_JPN,2023,0.014750348105339484,1.4750348105339484
SSP1,03_JPN,2024,0.001043090217733189,0.10430902177331891
SSP1,03_JPN,2025,0.013943005936350117,1.3943005936350117
SSP1,03_JPN,2026,0.009466000592814217,0.9466000592814217
SSP1,03_JPN,2027,0.008015032811722778,0.8015032811722778
SSP1,03_JPN,2028,0.007471700392625014,0.7471700392625014
SSP1,03_JPN,2029,0.007805546332568136,0.7805546332568136
SSP1,03_JPN,2030,0.008989937003934134,0.8989937003934134
SSP1,03_JPN,2031,0.010567831538888184,1.0567831538888184
SSP1,03_JPN,2032,0.011706222163887947,1.1706222163887947
SSP1,03_JPN,2033,0.012434284081119795,1.2434284081119795
SSP1,03_JPN,2034,0.012768094789961992,1.2768094789961992
SSP1,03_JPN,2035,0.012725751048058953,1.2725751048058953
SSP1,03_JPN,2036,0.012746994318519222,1.2746994318519222
SSP1,03_JPN,2037,0.01302961663745239,1.302961663745239
SSP1,03_JPN,2038,0.01324879676547619,1.324879676547619
SSP1,03_JPN,2039,0.013407336215279786,1.3407336215279786
SSP1,03_JPN,2040,0.013508068568818254,1.3508068568818254
SSP1,03_JPN,2041,0.013811855247313876,1.3811855247313876
SSP1,03_JPN,2042,0.01415237106529732,1.415237106529732
SSP1,03_JPN,2043,0.01419947479228334,1.419947479228334
SSP1,03_JPN,2044,0.013969012302339046,1.3969012302339046
SSP1,03_JPN,2045,0.013476267790974772,1.3476267790974772
SSP1,03_JPN,2046,0.013004414496627037,1.3004414496627037
SSP1,03_JPN,2047,0.012725867658046397,1.2725867658046397
SSP1,03_JPN,2048,0.012454230368158292,1.2454230368158292
SSP1,03_JPN,2049,0.012189175004515107,1.2189175004515107
SSP1,03_JPN,2050,0.011930392650585153,1.1930392650585153
SSP1,04_RUS,2019,0.021980757133501116,2.1980757133501116
SSP1,04_RUS,2020,-0.026536545010277024,-2.6536545010277024
SSP1,04_RUS,2021,0.0586649177292593,5.86649177292593
SSP1,04_RUS,2022,-0.014358821385983433,-1.4358821385983433
SSP1,04_RUS,2023,0.04082524812592703,4.082524812592703
SSP1,04_RUS,2024,0.04344374754915359,4.344374754915359
SSP1,04_RUS,2025,0.014469991296735207,1.4469991296735207
SSP1,04_RUS,2026,0.014006021092006105,1.4006021092006105
SSP1,04_RUS,2027,0.013961375644635288,1.3961375644635288
SSP1,04_RUS,2028,0.014371803315970988,1.4371803315970988
SSP1,04_RUS,2029,0.01521174614011378,1.521174614011378
SSP1,04_RUS,2030,0.01645445033788251,1.645445033788251
SSP1,04_RUS,2031,0.018439784380070767,1.8439784380070767
SSP1,04_RUS,2032,0.020322936991256535,2.0322936991256535
SSP1,04_RUS,2033,0.02135725657437293,2.135725657437293
SSP1,04_RUS,2034,0.021601279134134677,2.1601279134134677
SSP1,04_RUS,2035,0.021117329790602435,2.1117329790602435
SSP1,04_RUS,2036,0.020729072537542415,2.0729072537542415
SSP1,04_RUS,2037,0.020830439164194248,2.0830439164194248
SSP1,04_RUS,2038,0.02084578424767014,2.084578424767014
SSP1,04_RUS,2039,0.020781693664008838,2.078169366400884
SSP1,04_RUS,2040,0.02064442753054463,2.064442753054463
SSP1,04_RUS,2041,0.02066445737936151,2.066445737936151
SSP1,04_RUS,2042,0.02073239445257724,2.073239445257724
SSP1,04_RUS,2043,0.020581143763758414,2.0581143763758414
SSP1,04_RUS,2044,0.02022809474452969,2.022809474452969
SSP1,04_RUS,2045,0.01968939153050453,1.968939153050453
SSP1,04_RUS,2046,0.019174227672280608,1.9174227672280608
SSP1,04_RUS,2047,0.01880833360808931,1.8808333608089312
SSP1,04_RUS,2048,0.018456044188201126,1.8456044188201126
SSP1,04_RUS,2049,0.0181166143776732,1.8116614377673201
SSP1,04_RUS,2050,0.017789352566973893,1.7789352566973893
SSP1,05_MNG,2019,0.05602244220642638,5.602244220642638
SSP1,05_MNG,2020,-0.04557751975834423,-4.557751975834423
SSP1,05_MNG,2021,0.016367695773666924,1.6367695773666924
SSP1,05_MNG,2022,0.05032709636652699,5.032709636652699
SSP1,05_MNG,2023,0.0742211276150262,7.4221127615026194
SSP1,05_MNG,2024,0.05122045391226471,5.122045391226471
SSP1,05_MNG,2025,0.04014302500418543,4.014302500418543
SSP1,05_MNG,2026,0.0382786267638342,3.82786267638342
SSP1,05_MNG,2027,0.03744094473797199,3.7440944737971993
SSP1,05_MNG,2028,0.03736344108585632,3.736344108585632
SSP1,05_MNG,2029,0.037940461519785806,3.7940461519785806
SSP1,05_MNG,2030,0.039075593983430634,3.9075593983430634
SSP1,05_MNG,2031,0.0407914594430101,4.07914594430101
SSP1,05_MNG,2032,0.042170502038488156,4.217050203848816
SSP1,05_MNG,2033,0.04274783632246004,4.274783632246004
SSP1,05_MNG,2034,0.042635437454407565,4.2635437454407565
SSP1,05_MNG,2035,0.041937441604063874,4.193744160406387
SSP1,05_MNG,2036,0.041488340401252266,4.148834040125227
SSP1,05_MNG,2037,0.04147663194916529,4.147663194916529
SSP1,05_MNG,2038,0.041258324892187836,4.125832489218784
SSP1,05_MNG,2039,0.04086369036387594,4.086369036387594
SSP1,05_MNG,2040,0.040319716593424815,4.0319716593424815
SSP1,05_MNG,2041,0.04003581039541548,4.003581039541548
SSP1,05_MNG,2042,0.039891807221353215,3.9891807221353215
SSP1,05_MNG,2043,0.03947028808623587,3.947028808623587
SSP1,05_MNG,2044,0.038812369380142986,3.8812369380142986
SSP1,05_MNG,2045,0.03795424520387547,3.795424520387547
SSP1,05_MNG,2046,0.037189832753668384,3.7189832753668384
SSP1,05_MNG,2047,0.03662862672080869,3.662862672080869
SSP1,05_MNG,2048,0.03605821173137147,3.605821173137147
SSP1,05_MNG,2049,0.03548148517252714,3.548148517252714
SSP1,05_MNG,2050,0.03490093921626869,3.490093921626869
SSP1,06_PRK,2019,0.003533213425603643,0.3533213425603643
SSP1,06_PRK,2020,-0.045323507164476085,-4.532350716447608
SSP1,06_PRK,2021,-0.0005539478882047311,-0.055394788820473106
SSP1,06_PRK,2022,-0.0015213142773085053,-0.15213142773085053
SSP1,06_PRK,2023,0.03055937828880384,3.055937828880384
SSP1,06_PRK,2024,0.03703142621461142,3.703142621461142
