model,scenario,version,region,unit,variable,type,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
IIASA-WiC POP 2025,Historical Reference,1,Bahamas,million,Population,ANNUAL,0.08112,0.090782,0.111757,0.141711,0.176314,0.199844,0.221614,0.243493,0.268088,0.296764,0.322567,0.345411,0.370724,0.391004,0.405784,0.415502,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Bosnia and Herzegovina,million,Population,ANNUAL,2.670844,2.928594,3.231089,3.537199,3.793492,4.002758,4.182355,4.367524,4.488757,3.68525,4.171709,4.112153,3.844738,3.546921,3.340977,3.181,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Saint Barth??lemy,million,Population,ANNUAL,0.001974,0.002128,0.002178,0.002332,0.002412,0.002545,0.002953,0.00389,0.00507,0.00605,0.006988,0.007945,0.008916,0.009542,,,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Belarus,million,Population,ANNUAL,7.926779,7.948701,8.336512,8.819594,9.138714,9.469241,9.787097,10.101637,10.410923,10.472531,10.281424,9.967568,9.745094,9.696501,9.661039,9.3946,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Belize,million,Population,ANNUAL,0.068155,0.078889,0.090223,0.103264,0.119749,0.129477,0.14333,0.161562,0.180642,0.200692,0.236627,0.276221,0.318415,0.356136,0.392424,0.423846,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Bermuda,million,Population,ANNUAL,0.036924,0.038917,0.041692,0.046527,0.051616,0.053185,0.053439,0.055415,0.057294,0.059287,0.061173,0.062868,0.063391,0.063256,,,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Bolivia,million,Population,ANNUAL,3.067084,3.326908,3.669416,4.071893,4.535232,5.07026,5.67291,6.318134,7.022161,7.76775,8.515947,9.296165,10.137039,11.00368,11.862352,12.620088,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Brazil,million,Population,ANNUAL,53.1519,61.747204,71.976656,83.441271,95.176504,107.420393,120.853243,135.340402,149.370653,162.250123,174.692656,185.769921,195.43275,204.33481,212.564939,217.546263,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Barbados,million,Population,ANNUAL,0.207891,0.22644,0.231992,0.237288,0.240966,0.246462,0.252976,0.257638,0.258747,0.262042,0.264483,0.269,0.274303,0.277797,0.280426,0.282601,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Brunei Darussalam,million,Population,ANNUAL,0.046859,0.062364,0.083231,0.105266,0.130664,0.15696,0.184888,0.218333,0.257882,0.295529,0.330487,0.363627,0.393175,0.419093,0.439894,0.461429,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Bhutan,million,Population,ANNUAL,0.174711,0.193761,0.218451,0.251126,0.294009,0.34645,0.408607,0.477292,0.551832,0.522363,0.579146,0.657624,0.701611,0.739989,0.770001,0.797744,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Botswana,million,Population,ANNUAL,0.408831,0.457102,0.507224,0.569023,0.588829,0.70923,0.915928,1.118658,1.321744,1.523992,1.709362,1.875451,2.070064,2.282237,2.523551,2.7334,,,,,,,,,,,,,,,
