model,scenario,version,region,unit,variable,type,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
IIASA-WiC POP 2025,SSP1,1,Guyana,million,Population,ANNUAL,,,,,,,,,,,,,,,,0.808134,0.813504,0.810076,0.799232,0.783516,0.76304,0.739137,0.712445,0.686376,0.661173,0.636771,0.613019,0.589785,0.567021,0.54495,0.52393
IIASA-WiC POP 2025,SSP1,1,Hong Kong,million,Population,ANNUAL,,,,,,,,,,,,,,,,7.535771,7.563897,7.569242,7.562685,7.555247,7.559123,7.537095,7.472697,7.359356,7.214307,7.046679,6.856249,6.636848,6.384834,6.107684,5.819883
IIASA-WiC POP 2025,SSP1,1,Honduras,million,Population,ANNUAL,,,,,,,,,,,,,,,,10.827569,11.480338,12.008004,12.420671,12.751493,13.000826,13.166264,13.24303,13.24143,13.159065,13.006643,12.794506,12.531541,12.219136,11.857162,11.442761
IIASA-WiC POP 2025,SSP1,1,Croatia,million,Population,ANNUAL,,,,,,,,,,,,,,,,3.980758,3.860588,3.747337,3.638879,3.537421,3.442316,3.351172,3.261888,3.17406,3.087767,3.002707,2.917715,2.831762,2.744262,2.654055,2.55947
IIASA-WiC POP 2025,SSP1,1,Haiti,million,Population,ANNUAL,,,,,,,,,,,,,,,,12.018019,12.636442,13.105383,13.449257,13.718211,13.890035,13.94609,13.878407,13.728469,13.507007,13.22754,12.898022,12.523445,12.107476,11.657639,11.184175
IIASA-WiC POP 2025,SSP1,1,Hungary,million,Population,ANNUAL,,,,,,,,,,,,,,,,9.592585,9.438542,9.267853,9.09062,8.921051,8.763838,8.610748,8.446661,8.254652,8.031744,7.793964,7.559996,7.336205,7.112687,6.880932,6.639062
IIASA-WiC POP 2025,SSP1,1,Indonesia,million,Population,ANNUAL,,,,,,,,,,,,,,,,280.697803,289.154274,295.137351,298.653608,300.369609,300.222952,298.405662,294.801215,289.603473,283.160033,275.806709,267.801337,259.320244,250.345082,240.835757,230.782366
IIASA-WiC POP 2025,SSP1,1,India,million,Population,ANNUAL,,,,,,,,,,,,,,,,1445.482972,1492.562883,1525.461128,1545.104146,1554.934464,1554.791781,1545.894285,1527.776699,1501.178895,1467.624155,1427.415456,1381.006416,1329.213736,1273.219692,1213.964164,1152.628316
IIASA-WiC POP 2025,SSP1,1,Ireland,million,Population,ANNUAL,,,,,,,,,,,,,,,,5.123491,5.268726,5.420082,5.580433,5.749042,5.917485,6.059299,6.170807,6.252716,6.313112,6.35506,6.377505,6.362325,6.312004,6.24409,6.13544
IIASA-WiC POP 2025,SSP1,1,Iran,million,Population,ANNUAL,,,,,,,,,,,,,,,,90.694703,93.969138,96.542663,98.64745,100.462143,101.881282,102.816901,103.079989,102.651086,101.63338,100.097933,98.092168,95.674577,92.998595,90.282364,87.652121
IIASA-WiC POP 2025,SSP1,1,Iraq,million,Population,ANNUAL,,,,,,,,,,,,,,,,47.025073,51.429529,55.457359,59.193914,62.670466,65.706657,68.23273,70.182562,71.609184,72.58881,73.230353,73.555301,73.549851,73.188838,72.447838,71.104087
IIASA-WiC POP 2025,SSP1,1,Iceland,million,Population,ANNUAL,,,,,,,,,,,,,,,,0.376535,0.387084,0.396674,0.405095,0.412843,0.420215,0.426358,0.431383,0.435407,0.438409,0.44022,0.440344,0.436572,0.428029,0.416518,0.404679
IIASA-WiC POP 2025,SSP1,1,Israel,million,Population,ANNUAL,,,,,,,,,,,,,,,,9.371281,10.023562,10.658001,11.299312,11.961123,12.620551,13.249776,13.827262,14.354609,14.843484,15.304991,15.740193,16.140575,16.497128,16.806306,17.068444
IIASA-WiC POP 2025,SSP1,1,Italy,million,Population,ANNUAL,,,,,,,,,,,,,,,,58.934481,58.357432,57.873606,57.467668,57.122403,56.796323,56.274481,55.519328,54.533255,53.421523,52.256968,51.057925,49.655289,48.044585,46.190877,44.135601
IIASA-WiC POP 2025,SSP1,1,Jamaica,million,Population,ANNUAL,,,,,,,,,,,,,,,,2.835407,2.84606,2.838258,2.812888,2.774462,2.723958,2.660658,2.585772,2.506113,2.421566,2.333058,2.240497,2.144436,2.04614,1.947095,1.842427
IIASA-WiC POP 2025,SSP1,1,Jordan,million,Population,ANNUAL,,,,,,,,,,,,,,,,11.893489,12.864599,13.751804,14.530861,15.224441,15.78439,16.208975,16.490516,16.662342,16.741302,16.740886,16.652523,16.47862,16.219874,15.884496,15.47726
IIASA-WiC POP 2025,SSP1,1,Japan,million,Population,ANNUAL,,,,,,,,,,,,,,,,122.475878,119.738524,116.882067,113.884439,110.854404,107.909915,105.098946,102.296681,99.305852,95.984408,92.292581,88.361047,84.392656,80.505369,76.635206,72.475828
IIASA-WiC POP 2025,SSP1,1,Kazakhstan,million,Population,ANNUAL,,,,,,,,,,,,,,,,19.792327,20.51374,21.075383,21.529407,21.93148,22.231994,22.374369,22.329862,22.17876,21.970443,21.731732,21.471505,21.188427,20.887865,20.573537,20.233043
IIASA-WiC POP 2025,SSP1,1,Kenya,million,Population,ANNUAL,,,,,,,,,,,,,,,,56.833242,62.061334,66.826065,71.124945,75.126267,78.847458,81.854024,84.155581,85.751427,86.701163,87.09967,87.007643,86.445279,85.411633,83.880704,81.887043
IIASA-WiC POP 2025,SSP1,1,Kyrgyzstan,million,Population,ANNUAL,,,,,,,,,,,,,,,,6.897813,7.313718,7.668069,7.977658,8.260411,8.479976,8.621814,8.686092,8.699218,8.678368,8.628654,8.548245,8.441273,8.311568,8.170588,8.019987
IIASA-WiC POP 2025,SSP1,1,Cambodia,million,Population,ANNUAL,,,,,,,,,,,,,,,,17.300953,18.041005,18.578868,18.939277,19.146639,19.206971,19.130316,18.937272,18.659455,18.291052,17.822837,17.264934,16.653011,16.018186,15.354909,14.637056
IIASA-WiC POP 2025,SSP1,1,Kiribati,million,Population,ANNUAL,,,,,,,,,,,,,,,,0.136069,0.144275,0.150488,0.155239,0.159589,0.163085,0.165098,0.165201,0.16394,0.161802,0.159168,0.156156,0.152708,0.148626,0.143896,0.138672
IIASA-WiC POP 2025,SSP1,1,South Korea,million,Population,ANNUAL,,,,,,,,,,,,,,,,51.512989,51.085922,50.491781,49.643078,48.582297,47.401751,45.862637,43.956703,41.869156,39.747784,37.650672,35.624033,33.662689,31.707249,29.711167,27.692952
IIASA-WiC POP 2025,SSP1,1,Kuwait,million,Population,ANNUAL,,,,,,,,,,,,,,,,4.737165,4.950278,5.126336,5.27582,5.401081,5.486788,5.521018,5.500248,5.419945,5.291431,5.135125,4.971551,4.814786,4.670096,4.530227,4.375102
IIASA-WiC POP 2025,SSP1,1,Laos,million,Population,ANNUAL,,,,,,,,,,,,,,,,7.767739,8.136086,8.401792,8.588025,8.713499,8.763766,8.744945,8.663528,8.534017,8.363786,8.154551,7.909963,7.637293,7.347701,7.048116,6.742511
IIASA-WiC POP 2025,SSP1,1,Lebanon,million,Population,ANNUAL,,,,,,,,,,,,,,,,5.939671,6.202169,6.421673,6.596968,6.741227,6.841336,6.892653,6.902138,6.877633,6.827771,6.754524,6.659465,6.538042,6.387995,6.20588,5.988274
IIASA-WiC POP 2025,SSP1,1,Liberia,million,Population,ANNUAL,,,,,,,,,,,,,,,,5.653457,6.251622,6.80107,7.30851,7.788398,8.231747,8.610862,8.914997,9.157792,9.330809,9.441288,9.49217,9.492009,9.440047,9.335113,9.177196
IIASA-WiC POP 2025,SSP1,1,Libya,million,Population,ANNUAL,,,,,,,,,,,,,,,,7.042351,7.407582,7.726683,8.00803,8.253385,8.439525,8.556911,8.612316,8.620303,8.591436,8.539882,8.469328,8.380282,8.270174,8.131262,7.928301
IIASA-WiC POP 2025,SSP1,1,Saint Lucia,million,Population,ANNUAL,,,,,,,,,,,,,,,,0.180791,0.182472,0.182954,0.18223,0.180678,0.178417,0.175455,0.17176,0.16747,0.162768,0.157736,0.152389,0.146705,0.140639,0.13424,0.127574
IIASA-WiC POP 2025,SSP1,1,Sri Lanka,million,Population,ANNUAL,,,,,,,,,,,,,,,,22.224116,22.548063,22.728403,22.772888,22.711387,22.53658,22.252154,21.864039,21.41231,20.918066,20.384236,19.818568,19.226893,18.607371,17.951669,17.243287
IIASA-WiC POP 2025,SSP1,1,Lesotho,million,Population,ANNUAL,,,,,,,,,,,,,,,,2.348805,2.446167,2.521956,2.577601,2.619644,2.652642,2.661953,2.646598,2.613037,2.566632,2.510544,2.446753,2.376722,2.301751,2.222673,2.140187
IIASA-WiC POP 2025,SSP1,1,Lithuania,million,Population,ANNUAL,,,,,,,,,,,,,,,,2.725074,2.590675,2.466443,2.352062,2.250931,2.158473,2.067153,1.975569,1.890547,1.814035,1.746709,1.687479,1.633501,1.582305,1.533683,1.488603
IIASA-WiC POP 2025,SSP1,1,Luxembourg,million,Population,ANNUAL,,,,,,,,,,,,,,,,0.65515,0.677373,0.698363,0.718714,0.739563,0.761365,0.780361,0.795269,0.804466,0.808969,0.809876,0.807551,0.801373,0.790483,0.774817,0.755157
IIASA-WiC POP 2025,SSP1,1,Latvia,million,Population,ANNUAL,,,,,,,,,,,,,,,,1.836499,1.741238,1.65618,1.584044,1.524001,1.471657,1.421334,1.371891,1.324575,1.280439,1.239782,1.201946,1.165669,1.130372,1.09627,1.062824
IIASA-WiC POP 2025,SSP1,1,Macao,million,Population,ANNUAL,,,,,,,,,,,,,,,,0.698767,0.724151,0.745948,0.765598,0.78428,0.802102,0.814835,0.821772,0.821593,0.816337,0.806811,0.79216,0.770831,0.74196,0.70704,0.669639
IIASA-WiC POP 2025,SSP1,1,Morocco,million,Population,ANNUAL,,,,,,,,,,,,,,,,38.409478,39.796958,40.796023,41.434998,41.823292,41.967511,41.885966,41.565035,41.05883,40.364064,39.512587,38.537524,37.486082,36.375275,35.211712,33.980658
IIASA-WiC POP 2025,SSP1,1,Moldova,million,Population,ANNUAL,,,,,,,,,,,,,,,,3.054643,2.932516,2.809948,2.699784,2.603525,2.514415,2.424139,2.330512,2.238226,2.148305,2.061914,1.979861,1.903082,1.832914,1.769908,1.712251
IIASA-WiC POP 2025,SSP1,1,Madagascar,million,Population,ANNUAL,,,,,,,,,,,,,,,,31.357004,34.363991,36.974378,39.330892,41.582179,43.621312,45.318969,46.652473,47.652867,48.351066,48.754752,48.883367,48.755682,48.378483,47.770247,46.932408
IIASA-WiC POP 2025,SSP1,1,Maldives,million,Population,ANNUAL,,,,,,,,,,,,,,,,0.548228,0.578012,0.603053,0.625922,0.648213,0.668502,0.684731,0.695786,0.700729,0.70041,0.694603,0.682151,0.661397,0.631687,0.595196,0.557142
IIASA-WiC POP 2025,SSP1,1,Mexico,million,Population,ANNUAL,,,,,,,,,,,,,,,,130.41403,134.786361,138.151383,140.56184,142.278931,143.193562,143.328067,142.645962,141.354449,139.579426,137.408124,134.891935,132.032816,128.784389,125.089174,120.70188
IIASA-WiC POP 2025,SSP1,1,North Macedonia,million,Population,ANNUAL,,,,,,,,,,,,,,,,2.095603,2.105767,2.105694,2.095032,2.078099,2.057406,2.03391,2.006155,1.972565,1.93277,1.887729,1.838682,1.786913,1.733346,1.678228,1.620705
IIASA-WiC POP 2025,SSP1,1,Mali,million,Population,ANNUAL,,,,,,,,,,,,,,,,24.361669,27.593996,30.676634,33.628109,36.514339,39.181391,41.547235,43.526967,45.230085,46.663721,47.804295,48.668604,49.161607,49.28041,49.011118,48.424814
IIASA-WiC POP 2025,SSP1,1,Malta,million,Population,ANNUAL,,,,,,,,,,,,,,,,0.517403,0.522146,0.52343,0.522317,0.520963,0.520944,0.520487,0.518496,0.513644,0.505865,0.495154,0.481451,0.464684,0.444871,0.422814,0.400271
IIASA-WiC POP 2025,SSP1,1,Myanmar,million,Population,ANNUAL,,,,,,,,,,,,,,,,54.951374,55.89934,56.143566,55.846043,55.279068,54.474643,53.409671,52.072351,50.530855,48.808968,46.960189,45.044488,43.077236,41.081724,39.059247,37.032206
IIASA-WiC POP 2025,SSP1,1,Montenegro,million,Population,ANNUAL,,,,,,,,,,,,,,,,0.648657,0.642341,0.635942,0.630235,0.625292,0.620524,0.614957,0.607951,0.599681,0.590442,0.580429,0.569686,0.558177,0.545824,0.532487,0.517812
IIASA-WiC POP 2025,SSP1,1,Mongolia,million,Population,ANNUAL,,,,,,,,,,,,,,,,3.507299,3.695043,3.862085,4.013555,4.162721,4.297558,4.400561,4.46093,4.490355,4.493605,4.477959,4.449246,4.41089,4.363803,4.308829,4.240871
IIASA-WiC POP 2025,SSP1,1,Mozambique,million,Population,ANNUAL,,,,,,,,,,,,,,,,35.042684,39.017695,42.537654,45.834118,49.039366,52.086044,54.738142,56.923906,58.663512,59.986375,60.850142,61.28625,61.266504,60.850423,60.066065,58.933277
IIASA-WiC POP 2025,SSP1,1,Mauritania,million,Population,ANNUAL,,,,,,,,,,,,,,,,5.009208,5.519011,5.975419,6.389522,6.782913,7.138195,7.442895,7.687536,7.877758,8.012986,8.092145,8.116952,8.098024,8.037806,7.936443,7.794615
IIASA-WiC POP 2025,SSP1,1,Martinique,million,Population,ANNUAL,,,,,,,,,,,,,,,,0.366326,0.363515,0.360685,0.356439,0.350176,0.342052,0.332996,0.323741,0.315558,0.308753,0.303373,0.29936,0.296315,0.293632,0.290642,0.286655
IIASA-WiC POP 2025,SSP1,1,Mauritius,million,Population,ANNUAL,,,,,,,,,,,,,,,,1.29863,1.295994,1.285638,1.266509,1.241047,1.2104,1.17626,1.139603,1.101647,1.062563,1.022307,0.981071,0.939171,0.896387,0.85217,0.806385
IIASA-WiC POP 2025,SSP1,1,Malawi,million,Population,ANNUAL,,,,,,,,,,,,,,,,21.722635,24.283644,26.738955,29.054299,31.295034,33.407089,35.260756,36.822373,38.095063,39.088003,39.78081,40.186617,40.303527,40.174893,39.817383,39.239679
IIASA-WiC POP 2025,SSP1,1,Malaysia,million,Population,ANNUAL,,,,,,,,,,,,,,,,34.725784,36.16844,37.37913,38.349471,39.171432,39.837397,40.326151,40.591896,40.596689,40.357725,39.893377,39.213035,38.324413,37.247809,36.017112,34.656918
IIASA-WiC POP 2025,SSP1,1,Mayotte,million,Population,ANNUAL,,,,,,,,,,,,,,,,0.356558,0.413015,0.472176,0.534578,0.603248,0.676224,0.751465,0.827423,0.906176,0.988442,1.074903,1.165541,1.25969,1.356686,1.456581,1.559482
IIASA-WiC POP 2025,SSP1,1,Namibia,million,Population,ANNUAL,,,,,,,,,,,,,,,,2.679352,2.883561,3.05771,3.212957,3.357769,3.493612,3.600428,3.671354,3.71506,3.733089,3.731767,3.713276,3.678327,3.627281,3.560524,3.480844
IIASA-WiC POP 2025,SSP1,1,New Caledonia,million,Population,ANNUAL,,,,,,,,,,,,,,,,0.299259,0.310698,0.320545,0.329298,0.337101,0.343545,0.348417,0.351483,0.352789,0.352623,0.351371,0.3492,0.346063,0.341931,0.336815,0.330728
IIASA-WiC POP 2025,SSP1,1,Niger,million,Population,ANNUAL,,,,,,,,,,,,,,,,28.709716,33.384236,38.016441,42.789409,47.817309,52.895028,57.778103,62.319906,66.504228,70.28899,73.660809,76.516333,78.856494,80.584273,81.654948,82.021014
IIASA-WiC POP 2025,SSP1,1,Nigeria,million,Population,ANNUAL,,,,,,,,,,,,,,,,232.14437,256.757745,281.189423,305.787451,331.339967,356.547666,379.835556,400.693895,419.446183,435.975954,450.302631,462.144321,470.976455,476.722714,479.04832,478.207181
IIASA-WiC POP 2025,SSP1,1,Nicaragua,million,Population,ANNUAL,,,,,,,,,,,,,,,,7.160782,7.50112,7.75589,7.938071,8.064899,8.137894,8.158701,8.120963,8.044189,7.928947,7.783351,7.611316,7.419311,7.209761,6.98629,6.750694
IIASA-WiC POP 2025,SSP1,1,Netherlands,million,Population,ANNUAL,,,,,,,,,,,,,,,,17.582513,17.739295,17.86152,17.930861,17.967886,17.99853,17.99154,17.950179,17.886858,17.823185,17.768253,17.606501,17.331633,16.89563,16.351958,15.758071
IIASA-WiC POP 2025,SSP1,1,Norway,million,Population,ANNUAL,,,,,,,,,,,,,,,,5.506107,5.629341,5.751916,5.871701,5.992783,6.120157,6.226332,6.312574,6.378405,6.430462,6.471522,6.486234,6.443969,6.338394,6.185259,6.011754
IIASA-WiC POP 2025,SSP1,1,Nepal,million,Population,ANNUAL,,,,,,,,,,,,,,,,30.601911,31.717482,32.436904,32.856917,33.115024,33.194167,33.074959,32.751369,32.317637,31.787053,31.166483,30.46008,29.664725,28.785053,27.829719,26.819862
IIASA-WiC POP 2025,SSP1,1,New Zealand,million,Population,ANNUAL,,,,,,,,,,,,,,,,5.179058,5.320924,5.447932,5.561609,5.668502,5.766338,5.842552,5.897052,5.930967,5.949502,5.954284,5.942782,5.908944,5.845956,5.751826,5.631918
IIASA-WiC POP 2025,SSP1,1,Oman,million,Population,ANNUAL,,,,,,,,,,,,,,,,4.991532,5.325311,5.598497,5.828869,6.048954,6.2497,6.405442,6.496391,6.516018,6.466591,6.354761,6.192981,5.99344,5.778988,5.575185,5.396678
IIASA-WiC POP 2025,SSP1,1,Pakistan,million,Population,ANNUAL,,,,,,,,,,,,,,,,248.722589,270.379793,290.328794,308.141721,324.803627,340.033993,352.80931,362.836362,370.290081,375.469414,378.463039,379.296617,378.227863,375.492955,371.239448,365.693999
IIASA-WiC POP 2025,SSP1,1,Panama,million,Population,ANNUAL,,,,,,,,,,,,,,,,4.540154,4.768106,4.958223,5.106899,5.227488,5.311041,5.361907,5.381076,5.373671,5.343232,5.288875,5.216603,5.125135,5.016595,4.89008,4.743182
IIASA-WiC POP 2025,SSP1,1,Peru,million,Population,ANNUAL,,,,,,,,,,,,,,,,34.546824,35.780163,36.690572,37.272637,37.648784,37.806371,37.75248,37.469074,36.996416,36.356925,35.583872,34.708515,33.748803,32.713685,31.608716,30.435256
IIASA-WiC POP 2025,SSP1,1,Philippines,million,Population,ANNUAL,,,,,,,,,,,,,,,,119.754409,127.021737,133.166477,138.164491,142.383416,145.637191,147.792257,148.77134,148.906158,148.330488,147.086352,145.267955,142.819475,139.78721,136.256665,132.306753
IIASA-WiC POP 2025,SSP1,1,Papua New Guinea,million,Population,ANNUAL,,,,,,,,,,,,,,,,10.657199,11.500259,12.221821,12.845031,13.397061,13.860924,14.209674,14.441339,14.543818,14.541248,14.445802,14.264817,13.993586,13.637439,13.19958,12.690573
IIASA-WiC POP 2025,SSP1,1,Poland,million,Population,ANNUAL,,,,,,,,,,,,,,,,39.009959,38.278983,37.53603,36.8185,36.143635,35.520258,34.841508,34.107784,33.315232,32.456042,31.527546,30.546633,29.545099,28.5625,27.634333,26.778321
IIASA-WiC POP 2025,SSP1,1,Puerto Rico,million,Population,ANNUAL,,,,,,,,,,,,,,,,3.109319,2.951109,2.79704,2.647557,2.505841,2.374923,2.250188,2.133267,2.027755,1.932792,1.846371,1.76581,1.688371,1.611794,1.533985,1.453191
IIASA-WiC POP 2025,SSP1,1,North Korea,million,Population,ANNUAL,,,,,,,,,,,,,,,,26.39872,26.538501,26.400092,26.126959,25.771989,25.370886,24.892217,24.243417,23.470171,22.668591,21.896443,21.153864,20.401906,19.603847,18.765002,17.923468
IIASA-WiC POP 2025,SSP1,1,Portugal,million,Population,ANNUAL,,,,,,,,,,,,,,,,10.196377,10.092155,10.006442,9.92606,9.848915,9.770063,9.675488,9.55997,9.419493,9.262347,9.093409,8.915522,8.721845,8.48333,8.217669,7.906083
IIASA-WiC POP 2025,SSP1,1,Paraguay,million,Population,ANNUAL,,,,,,,,,,,,,,,,7.003398,7.363944,7.639906,7.85215,8.011109,8.115728,8.156684,8.141016,8.088488,8.002446,7.885123,7.735447,7.558592,7.358474,7.142382,6.911405
IIASA-WiC POP 2025,SSP1,1,Palestine,million,Population,ANNUAL,,,,,,,,,,,,,,,,5.559569,6.082986,6.550913,6.959261,7.329014,7.651066,7.899893,8.073758,8.19236,8.265153,8.30692,8.32305,8.310929,8.275466,8.213706,8.13061
IIASA-WiC POP 2025,SSP1,1,French Polynesia,million,Population,ANNUAL,,,,,,,,,,,,,,,,0.310863,0.31982,0.326921,0.332142,0.335562,0.337071,0.336141,0.333165,0.329117,0.324362,0.319099,0.313333,0.307012,0.300383,0.29379,0.287395
IIASA-WiC POP 2025,SSP1,1,Qatar,million,Population,ANNUAL,,,,,,,,,,,,,,,,3.125791,3.396325,3.653219,3.902931,4.148192,4.377004,4.579102,4.745501,4.849267,4.888372,4.860342,4.76451,4.603995,4.393024,4.158347,3.926552
IIASA-WiC POP 2025,SSP1,1,R??union,million,Population,ANNUAL,,,,,,,,,,,,,,,,1.000816,1.037976,1.06836,1.095016,1.117618,1.134923,1.146915,1.153485,1.156334,1.157289,1.157745,1.157726,1.156695,1.15348,1.147098,1.136334
IIASA-WiC POP 2025,SSP1,1,Romania,million,Population,ANNUAL,,,,,,,,,,,,,,,,18.885716,18.349485,17.783467,17.226186,16.678488,16.133328,15.58295,15.000739,14.392752,13.779823,13.199365,12.670643,12.190925,11.751994,11.350122,10.964595
IIASA-WiC POP 2025,SSP1,1,Russian Federation,million,Population,ANNUAL,,,,,,,,,,,,,,,,145.394341,143.75701,142.275881,141.170288,140.513671,140.044126,139.276146,138.110983,136.530278,134.634876,132.506856,130.190299,127.721336,125.194725,122.697714,120.137533
IIASA-WiC POP 2025,SSP1,1,Rwanda,million,Population,ANNUAL,,,,,,,,,,,,,,,,14.570678,16.049645,17.37042,18.567437,19.705149,20.793839,21.72566,22.469492,23.014709,23.374417,23.554091,23.574527,23.470676,23.254411,22.917835,22.461518
IIASA-WiC POP 2025,SSP1,1,Saudi Arabia,million,Population,ANNUAL,,,,,,,,,,,,,,,,39.22019,41.64828,43.692368,45.369583,46.750684,47.794325,48.466622,48.723128,48.533313,47.947315,47.064212,46.015338,44.896997,43.724514,42.454722,41.070335
IIASA-WiC POP 2025,SSP1,1,Sudan,million,Population,ANNUAL,,,,,,,,,,,,,,,,49.751585,55.214772,60.215778,64.850371,69.363907,73.665974,77.550285,80.880338,83.627275,85.760212,87.269048,88.301414,88.810296,88.886828,88.526677,87.748626
IIASA-WiC POP 2025,SSP1,1,Senegal,million,Population,ANNUAL,,,,,,,,,,,,,,,,18.370559,20.281565,22.03776,23.67987,25.290324,26.783805,28.066278,29.108157,29.945997,30.591448,31.05904,31.341332,31.429319,31.344712,31.096498,30.685123
IIASA-WiC POP 2025,SSP1,1,Singapore,million,Population,ANNUAL,,,,,,,,,,,,,,,,6.10754,6.303099,6.461458,6.580965,6.670599,6.738759,6.774057,6.775067,6.728164,6.643626,6.527368,6.38025,6.198853,5.978933,5.719569,5.424925
IIASA-WiC POP 2025,SSP1,1,Solomon Islands,million,Population,ANNUAL,,,,,,,,,,,,,,,,0.768195,0.841411,0.906185,0.965067,1.019692,1.06685,1.104614,1.132372,1.152428,1.163769,1.167817,1.164479,1.155211,1.140088,1.119031,1.091571
IIASA-WiC POP 2025,SSP1,1,Sierra Leone,million,Population,ANNUAL,,,,,,,,,,,,,,,,9.070178,9.851229,10.523883,11.099353,11.604349,12.017615,12.315424,12.487252,12.552046,12.517814,12.388435,12.180247,11.902128,11.55731,11.155735,10.707142
IIASA-WiC POP 2025,SSP1,1,El Salvador,million,Population,ANNUAL,,,,,,,,,,,,,,,,6.373114,6.411143,6.387956,6.318073,6.222239,6.097281,5.943233,5.760777,5.572401,5.380597,5.187603,4.992698,4.795691,4.595135,4.391813,4.190176
IIASA-WiC POP 2025,SSP1,1,Somalia,million,Population,ANNUAL,,,,,,,,,,,,,,,,19.02004,21.584462,24.014723,26.424302,28.926831,31.398614,33.648509,35.543157,37.190362,38.640812,39.907021,40.953319,41.720677,42.190363,42.346415,42.249088
IIASA-WiC POP 2025,SSP1,1,Serbia,million,Population,ANNUAL,,,,,,,,,,,,,,,,7.153957,7.063187,6.971211,6.873398,6.782844,6.70146,6.624658,6.541765,6.438951,6.317041,6.182087,6.040555,5.896005,5.747515,5.592235,5.425666
IIASA-WiC POP 2025,SSP1,1,South Sudan,million,Population,ANNUAL,,,,,,,,,,,,,,,,11.082318,11.506551,11.866852,12.139973,12.288312,12.267416,12.111125,11.86514,11.622511,11.385232,11.135878,10.861557,10.566573,10.259043,9.945894,9.640936
IIASA-WiC POP 2025,SSP1,1,Sao Tome and Principe,million,Population,ANNUAL,,,,,,,,,,,,,,,,0.237482,0.255258,0.270403,0.282944,0.293754,0.302026,0.307197,0.3095,0.309764,0.308051,0.30477,0.300457,0.295262,0.288983,0.281453,0.27275
IIASA-WiC POP 2025,SSP1,1,Suriname,million,Population,ANNUAL,,,,,,,,,,,,,,,,0.633338,0.657678,0.676226,0.689594,0.699474,0.705573,0.707599,0.705415,0.699992,0.692176,0.682458,0.670931,0.657757,0.642572,0.625561,0.60661
IIASA-WiC POP 2025,SSP1,1,Slovakia,million,Population,ANNUAL,,,,,,,,,,,,,,,,5.501991,5.47124,5.420632,5.357115,5.292658,5.22818,5.158553,5.076512,4.977641,4.862881,4.736954,4.607165,4.479188,4.354464,4.233423,4.116357
IIASA-WiC POP 2025,SSP1,1,Slovenia,million,Population,ANNUAL,,,,,,,,,,,,,,,,2.114577,2.107986,2.098768,2.088963,2.079724,2.068242,2.05168,2.02933,2.000838,1.968479,1.933571,1.895836,1.854653,1.810152,1.7632,1.713961
IIASA-WiC POP 2025,SSP1,1,Sweden,million,Population,ANNUAL,,,,,,,,,,,,,,,,10.56977,10.784797,10.989356,11.202456,11.446812,11.723844,11.978897,12.196517,12.369836,12.515311,12.640718,12.728512,12.69743,12.520659,12.243742,11.953534
IIASA-WiC POP 2025,SSP1,1,Eswatini,million,Population,ANNUAL,,,,,,,,,,,,,,,,1.230944,1.284395,1.324117,1.351873,1.371983,1.384328,1.382091,1.365708,1.342622,1.313913,1.280161,1.241892,1.199978,1.155596,1.109301,1.061691
IIASA-WiC POP 2025,SSP1,1,Seychelles,million,Population,ANNUAL,,,,,,,,,,,,,,,,0.109057,0.112265,0.114634,0.116127,0.116899,0.116955,0.116285,0.114942,0.113088,0.110778,0.108115,0.105154,0.101925,0.098501,0.09486,0.090977
IIASA-WiC POP 2025,SSP1,1,Syria,million,Population,ANNUAL,,,,,,,,,,,,,,,,22.104625,23.632679,25.115747,26.408066,27.484659,28.300409,28.917102,29.372191,29.725425,29.979835,30.136003,30.189917,30.135476,29.972938,29.6464,28.865406
IIASA-WiC POP 2025,SSP1,1,Chad,million,Population,ANNUAL,,,,,,,,,,,,,,,,19.219191,21.762287,24.168372,26.550634,28.953063,31.269325,33.401817,35.29087,36.965461,38.388704,39.569671,40.467144,41.107071,41.425996,41.40504,41.064358
IIASA-WiC POP 2025,SSP1,1,Togo,million,Population,ANNUAL,,,,,,,,,,,,,,,,9.354153,10.227291,10.997742,11.686392,12.325563,12.881121,13.330051,13.654326,13.88699,14.015609,14.054035,13.999779,13.867458,13.663263,13.391046,13.055447
IIASA-WiC POP 2025,SSP1,1,Thailand,million,Population,ANNUAL,,,,,,,,,,,,,,,,72.030014,72.082022,71.577807,70.525886,69.067247,67.20446,64.996657,62.54087,59.935142,57.264579,54.565956,51.860393,49.13359,46.390513,43.637772,40.91181
IIASA-WiC POP 2025,SSP1,1,Tajikistan,million,Population,ANNUAL,,,,,,,,,,,,,,,,10.416997,11.217097,11.941241,12.597152,13.192462,13.648061,13.95236,14.122733,14.211045,14.225908,14.163911,14.024769,13.826433,13.581577,13.302525,12.986623
IIASA-WiC POP 2025,SSP1,1,Turkmenistan,million,Population,ANNUAL,,,,,,,,,,,,,,,,6.714457,7.089462,7.391746,7.647655,7.882216,8.075372,8.196227,8.24193,8.228012,8.175289,8.094965,7.988959,7.857229,7.70229,7.528743,7.33652
