model,scenario,version,region,unit,variable,type,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
OECD ENV-Growth 2025,Historical Reference,1,Aruba,billion USD_2015/yr,GDP|PPP,ANNUAL,,,2.069760772,2.816451633,3.397465417,3.788914666,3.45602538,3.895259324,3.04685854,4.500160567,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Aruba,billion USD_2017/yr,GDP|PPP,ANNUAL,,,2.11677,2.88042,3.47463,3.87497,3.53452,3.98373,3.11606,4.60237,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Australia,billion USD_2010/yr,GDP|PPP,ANNUAL,364.2461287,422.5531838,500.4937266,572.1144273,670.9039154,791.8866914,908.4873761,1038.043692,1123.116769,1291.732413,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Australia,billion USD_2015/yr,GDP|PPP,ANNUAL,390.0866514,452.5301533,535.9999914,612.701642,718.4995011,848.0650949,972.9377209,1111.685083,1202.793455,1383.37111,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Australia,billion USD_2017/yr,GDP|PPP,ANNUAL,406.963,472.108,559.189,639.209,749.584,884.755,1015.03,1159.78,1254.83,1443.22,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Austria,billion USD_2010/yr,GDP|PPP,ANNUAL,197.6018624,212.55803,246.7925863,275.4553962,301.2280705,328.7078884,350.8853379,370.7032944,374.8591828,417.1791408,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Austria,billion USD_2015/yr,GDP|PPP,ANNUAL,229.7444948,247.1334865,286.9367594,320.2619654,350.2269159,382.1767002,407.9616137,431.0032306,435.8351307,485.0390059,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Austria,billion USD_2017/yr,GDP|PPP,ANNUAL,243.538,261.971,304.164,339.49,371.254,405.122,432.455,456.88,462.002,514.16,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Azerbaijan,billion USD_2010/yr,GDP|PPP,ANNUAL,,,56.86377376,24.99116083,34.99854992,62.07144912,132.5786831,149.1291689,144.2317567,171.6570573,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Azerbaijan,billion USD_2015/yr,GDP|PPP,ANNUAL,,,54.94966525,24.14992589,33.82045325,59.98204348,128.1159123,144.1092873,139.3767283,165.8788577,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Azerbaijan,billion USD_2017/yr,GDP|PPP,ANNUAL,,,54.6529,24.0195,33.6378,59.6581,127.424,143.331,138.624,164.983,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Bahamas,billion USD_2010/yr,GDP|PPP,ANNUAL,6.048372178,7.107935384,7.993726723,7.955215534,10.16829633,11.0380902,10.90946469,11.35090334,9.024175028,13.03136071,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Bahamas,billion USD_2015/yr,GDP|PPP,ANNUAL,6.642150275,7.805732448,8.7784833,8.736191407,11.16653379,12.12171667,11.9804638,12.46523916,9.910092316,14.31066965,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Bahamas,billion USD_2017/yr,GDP|PPP,ANNUAL,7.1193,8.36647,9.4091,9.36377,11.9687,12.9925,12.8411,13.3607,10.622,15.3387,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Bahrain,billion USD_2010/yr,GDP|PPP,ANNUAL,16.68848627,20.15613899,22.16089873,27.4829095,34.53275161,44.41224882,58.2048191,69.41479271,74.58019642,88.12602382,,,,,,,,,,,,,,,
