IPCC_annex,C_group_IM24_sh,Country_code_A3,Name,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,Substance,fossil_bio,Y_1970,Y_1971,Y_1972,Y_1973,Y_1974,Y_1975,Y_1976,Y_1977,Y_1978,Y_1979,Y_1980,Y_1981,Y_1982,Y_1983,Y_1984,Y_1985,Y_1986,Y_1987,Y_1988,Y_1989,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022,Y_2023,Y_2024
Non-Annex_I,Western_Africa,GIN,Guinea,1.A.5,Non-Specified,N2O,fossil,0.001254969,0.001254969,0.001179287,0.001256921,0.001359863,0.00130738,0.001144503,0.001207663,0.001075544,0.001237787,0.00100596,0.00075575,0.000780703,0.00083329,0.000698539,0.000680783,0.000555658,0.001218421,0.001177808,0.001394821,0.000289775,0.00027424,0.000235313,0.000240177,0.000281792,0.000268358,0.000280765,0.000301278,0.00025085,0.00025913,0.000442278,0.000516336,0.000586582,0.000607306,0.000555543,0.000463854,0.000402682,0.000403584,0.000393002,0.000390903,0.000499606,0.000701217,0.000666827,0.000592007,0.000632541,0.000589594,0.000692929,0.000752505,0.001328509,0.001724522,0.001644587,0.001208304,0.001565073,0.001496579,0.001554951
Non-Annex_I,Western_Africa,GIN,Guinea,2.G,Other Product Manufacture and Use,N2O,fossil,4.64175E-05,4.69022E-05,4.7279E-05,4.7568E-05,4.78011E-05,4.80096E-05,4.81976E-05,4.83833E-05,4.86324E-05,4.90279E-05,4.96309E-05,5.04876E-05,5.15966E-05,5.29155E-05,5.43745E-05,5.59325E-05,5.75278E-05,5.91963E-05,6.11037E-05,6.34772E-05,6.6452E-05,7.01176E-05,7.43472E-05,7.87956E-05,8.29872E-05,8.65829E-05,8.94581E-05,9.17179E-05,9.35363E-05,9.51915E-05,9.68941E-05,9.86825E-05,0.000100511,0.000102408,0.000104393,0.000106477,0.000108696,0.000111064,0.000113554,0.000116122,0.000118736,0.000121387,0.000124097,0.000126903,0.000129861,0.000133007,0.000136355,0.000139889,0.000143579,0.00014738,0.000151259,0.00015521,0.000159225,0.000163328,0.000167486
Non-Annex_I,Western_Africa,GIN,Guinea,3.A.2,Manure Management,N2O,fossil,0.015458382,0.01554249,0.016291814,0.017972627,0.019121961,0.020941998,0.02210806,0.023314883,0.024566756,0.025564655,0.02682845,0.027921112,0.029176385,0.030599839,0.029823346,0.023251147,0.019854468,0.023168552,0.025526869,0.027776229,0.02835688,0.030869025,0.034226299,0.037701647,0.04185673,0.046266328,0.049317492,0.052519015,0.055612526,0.058970419,0.064217407,0.067686989,0.070830844,0.075018794,0.079331682,0.083616394,0.087961865,0.091777994,0.095919609,0.100491092,0.105395414,0.111590257,0.117121343,0.123012705,0.129584483,0.138535031,0.145810402,0.15132847,0.161218674,0.166165003,0.171551635,0.179709637,0.188143186,0.193128725,0.199510735
Non-Annex_I,Western_Africa,GIN,Guinea,3.C.4,Direct N2O Emissions from managed soils,N2O,fossil,1.873256061,1.867669685,1.892752938,1.982164521,2.053021181,2.120667851,2.143716148,2.150672199,2.158908866,2.165157144,2.173950198,2.18086978,2.187344994,2.197679853,2.196335637,1.947000521,1.473100646,1.743501229,1.975742973,2.138183727,2.187054595,2.315211785,2.453873283,2.609279345,2.79324265,2.965742616,3.114094816,3.272402287,3.440217815,3.609560154,3.842352302,4.036668119,4.247034873,4.475294598,4.717271873,4.976473985,5.259612272,5.540227188,5.834500747,6.141672464,6.543591095,6.903247984,7.268681927,7.645069547,7.96167393,8.445914649,8.902059239,9.340536185,9.905297213,10.35014862,10.87709119,11.46929699,12.09037508,11.88578688,12.26294926
Non-Annex_I,Western_Africa,GIN,Guinea,3.C.5,Indirect N2O Emissions from managed soils,N2O,fossil,0.108244235,0.108090822,0.110579374,0.116513603,0.12099272,0.125995889,0.128740845,0.130483403,0.132646486,0.133745772,0.135462118,0.136842743,0.137909386,0.139606853,0.139850045,0.126623176,0.106975874,0.121044128,0.13364861,0.143282016,0.14748491,0.155990889,0.165252666,0.175578584,0.187915777,0.199669362,0.210184693,0.221302061,0.232679989,0.244414359,0.260690621,0.269739396,0.284056021,0.299827442,0.316877324,0.334674683,0.352197213,0.368779673,0.385226671,0.400490355,0.451668259,0.476859696,0.503390944,0.528387606,0.547979805,0.579249936,0.607036525,0.636452277,0.674033807,0.695148324,0.716371596,0.760879671,0.806400511,0.822441946,0.842288327
Non-Annex_I,Western_Africa,GIN,Guinea,3.C.6,Indirect N2O Emissions from manure management,N2O,fossil,0.004300413,0.004236593,0.004336869,0.004618292,0.004821389,0.005065463,0.005210333,0.005332152,0.0054648,0.005550832,0.005667882,0.00575916,0.005843811,0.005962988,0.005808874,0.00495598,0.004383759,0.004872342,0.005217222,0.005496635,0.005554129,0.005900599,0.006329526,0.006797163,0.007398339,0.007967365,0.008359655,0.008769671,0.009208242,0.009673641,0.010352639,0.010910418,0.011477606,0.012076788,0.012773615,0.013492634,0.014245124,0.014830813,0.015478768,0.016221646,0.01721251,0.018223445,0.018988892,0.019808746,0.020611355,0.022286521,0.023467551,0.024084827,0.025956556,0.026425823,0.026944352,0.028115972,0.029321056,0.030368302,0.031463672
Non-Annex_I,Western_Africa,GIN,Guinea,4.D,Wastewater Treatment and Discharge,N2O,fossil,0.129388569,0.133676592,0.134703108,0.141236728,0.142562693,0.144679961,0.147738237,0.145546116,0.146647523,0.15409004,0.164794004,0.165435601,0.165788479,0.158902012,0.173380701,0.170194106,0.170707383,0.171274127,0.180085373,0.185699378,0.205656802,0.21298861,0.226462124,0.234847172,0.242589263,0.248140809,0.257104064,0.262920415,0.27352916,0.2783496,0.283538798,0.290471208,0.298159341,0.305551288,0.312070382,0.318302431,0.324934341,0.336473965,0.349231183,0.355794557,0.36244339,0.367749611,0.385214126,0.399021673,0.407577127,0.41439843,0.423266036,0.440658282,0.458870968,0.482858641,0.501642954,0.513855392,0.5308023,0.548831104,0.567472259
Non-Annex_I,Western_Africa,GIN,Guinea,5.A,Indirect N2O emissions from the atmospheric deposition of nitrogen in NOx and NH3,N2O,fossil,0.233304219,0.231188489,0.235017113,0.234211743,0.231579991,0.239321153,0.242140259,0.245551723,0.247239828,0.251073656,0.251977825,0.257998944,1.194617135,1.248805391,1.001108716,1.102782306,1.197300379,1.103525749,1.055573393,1.346041846,1.392820024,1.471988986,1.213761858,1.004553542,1.466940288,1.477816568,1.598586109,0.957396437,1.322476716,1.35327899,1.156178864,1.524871612,1.268394787,1.178077917,1.09035079,1.329142052,1.281478226,1.214845216,1.28355045,1.192063466,1.127493663,1.213166803,1.358510257,1.282009531,1.224781013,1.140786683,1.568089788,1.304730944,1.062250979,1.217204721,1.254108098,1.084808394,1.29448701,1.122945585,1.197205185
Non-Annex_I,Rest Central America,GLP,Guadeloupe,1.A.1.a,Main Activity Electricity and Heat Production,N2O,bio,,,,,,,,,,,,,,,,,,,,,0.000270722,0.000281122,0.000263877,0.000269679,0.000248963,0.000258597,0.000283377,0.000291601,0.000561283,0.000559894,0.000637121,0.000634892,0.000644234,0.000604582,0.000670731,0.000551848,0.000550362,0.00054289,0.000468628,0.000467215,0.000489824,0.000489824,0.000489824,0.000489824,0.000489824,0.000489824,0.000489824,0.000489824,0.000489824,0.000489824,0.000489824,0.000489824,0.000489824,0.000489824,0.000489824
Non-Annex_I,Rest Central America,GLP,Guadeloupe,1.A.2,Manufacturing Industries and Construction,N2O,bio,0.004096958,0.004004296,0.003402332,0.003693483,0.003558295,0.003316356,0.003120477,0.003364012,0.003278404,0.003415664,0.003438178,0.003272509,0.003378556,0.003025274,0.002873462,0.002905219,0.003104874,0.002846186,0.002870176,0.002812439,0.002332196,0.003866744,0.002948711,0.003097124,0.003029413,0.003047291,0.003049432,0.00309718,0.000605785,0.000624378,0.00069644,0.000570251,0.000550072,0.000527667,0.000512968,0.000513102,0.00050112,0.000401932,0.000354246,0.000353753,0.000373331,0.000373331,0.000373331,0.000373331,0.000373331,0.000373331,0.000373331,0.000373331,0.000373331,0.000373331,0.000373331,0.000373331,0.000373331,0.000373331,0.000373331
