IPCC_annex,C_group_IM24_sh,Country_code_A3,Name,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,Substance,fossil_bio,Y_1970,Y_1971,Y_1972,Y_1973,Y_1974,Y_1975,Y_1976,Y_1977,Y_1978,Y_1979,Y_1980,Y_1981,Y_1982,Y_1983,Y_1984,Y_1985,Y_1986,Y_1987,Y_1988,Y_1989,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022,Y_2023,Y_2024
Non-Annex_I,Mexico,MEX,Mexico,1.A.1.bc,Petroleum Refining - Manufacture of Solid Fuels and Other Energy Industries,CH4,fossil,0.311157442,0.314212541,0.395405872,0.506994571,0.548868372,0.348711567,0.393484593,0.462071345,0.50171629,0.635674415,0.766074282,0.766792986,0.905662883,0.819688296,1.057601417,1.186000403,1.134585329,0.980247641,1.0164494,1.015401099,0.958495272,0.967621005,1.086428388,1.370791286,1.411264896,1.243794531,1.320155261,1.586305123,1.743328504,1.527330367,1.83172736,1.905102074,1.979045206,2.145042973,2.25085517,2.250461151,2.280906133,2.216972455,2.210739056,2.26194957,2.289322057,2.265987429,2.344257678,2.222784163,2.020100891,1.990344234,1.835652031,1.611686019,1.946816323,2.112150557,1.855292519,1.825399684,1.966434235,2.020958054,2.042366063
Non-Annex_I,Mexico,MEX,Mexico,1.A.2,Manufacturing Industries and Construction,CH4,fossil,1.0736136,1.0736136,1.1967323,1.2694839,1.426322,1.5352691,1.7088613,1.7064076,1.8987381,1.9135761,1.8490002,2.0217381,1.9911137,2.2201981,2.2110022,2.3312635,2.053297,2.24722781,1.97540697,2.18866706,1.56517203,1.52127946,1.52456292,1.51688187,1.53451305,1.44907208,1.61180003,1.64103948,1.68805745,1.46878898,1.54372257,1.43838972,1.60586639,1.92578891,2.02411616,2.21253508,2.75757956,2.24508429,2.53175782,1.79024757,2.58924864,3.02247356,2.2233782,2.51801622,1.99930881,2.63268369,1.9368495,2.57276567,1.83572191,1.998946231,1.90356975,1.305222105,1.48981108,1.533323219,1.546308255
Non-Annex_I,Mexico,MEX,Mexico,1.A.3.a,Civil Aviation,CH4,fossil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000448,0.0004032,0.0003584,0.0003808,0.0003808,0.0003584,0.0004032,0.0004256,0.000448,0.0004704,0.000448,0.000448,0.0002016,0.0001792,0.0001792,0.0003136,0.0003136,0.0002912,0.0002912,0.0002912,0.000270725,0.0002688,0.0002912,0.0003808,0.000268801,0.00027805
Non-Annex_I,Mexico,MEX,Mexico,1.A.3.b_noRES,Road Transportation no resuspension,CH4,fossil,8.801927824,8.78829379,9.563541729,10.67795177,10.98214431,11.29213867,12.17436429,12.87452754,13.99457374,15.83624387,18.08967928,20.52065632,20.60277953,18.5236324,19.2731546,18.97527332,23.60983077,24.28380491,25.17811697,27.93926432,28.46008557,30.58678886,30.81248513,30.73161762,31.05543633,27.82624865,27.43128098,27.77161759,27.91709353,27.84546122,27.88042036,28.72723341,29.31483713,30.30952832,31.33757237,32.31411942,33.64904203,34.9546583,36.10844213,34.80396061,34.31537955,33.89246486,33.24404592,32.1208074,30.3466299,29.43989513,29.36006786,27.71676324,25.96181632,26.48580645,19.53319093,19.44900552,24.52314694,23.73178134,23.94109645
Non-Annex_I,Mexico,MEX,Mexico,1.A.3.c,Railways,CH4,fossil,,,,,,,,,,,,,,,,,0.09953277,0.14196237,0.09635055,0.11880288,0.11296881,0.09475944,0.09582018,0.09688092,0.10854906,0.09564339,0.10377573,0.11915646,0.09953277,0.0936987,0.09670413,0.09122364,0.09387549,0.09617376,0.10359894,0.10589721,0.11279202,0.10660437,0.10023993,0.09564339,0.10112388,0.10713474,0.1007703,0.11049375,0.10943301,0.1166814,0.1166814,0.1166814,0.11031696,0.112328299,0.06788736,0.0618765,0.09794166,0.098118454,0.098984549
Non-Annex_I,Mexico,MEX,Mexico,1.A.3.d,Water-borne Navigation,CH4,fossil,,,,,,,,,,,,,,,,,,,,,0.125433,0.162372,0.114765,0.0943572,0.1892184,0.1684116,0.173712,0.1859382,0.2336964,0.3377304,0.3696882,0.310695,0.2265816,0.2357964,0.2234526,0.2432976,0.2472876,0.2501982,0.2600094,0.1890252,0.207795,0.2393412,0.232764,0.2027424,0.2207478,0.2303868,0.2566452,0.196707,0.1860432,0.20143907,0.124404,0.109662,0.1690794,0.184883992,0.1408269
Non-Annex_I,Mexico,MEX,Mexico,1.A.3.e,Other Transportation,CH4,fossil,0.3587346,0.3587346,0.4254462,0.442188,0.5443002,0.6343992,0.7044336,0.7575984,0.828783,0.9018846,0.9775422,1.0629126,1.0296846,0.9225882,0.955305,0.9587556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Annex_I,Mexico,MEX,Mexico,1.A.4,Residential and other sectors,CH4,fossil,1.2413259,1.2413259,1.31500631,1.38387354,1.43963717,1.66313326,1.73884824,1.77203028,1.85743692,1.97481407,2.24131443,2.30798732,2.4652986,2.2803466,2.26263444,2.34097108,2.26960067,2.42842936,2.43507548,2.32838251,2.04184768,2.11533694,2.26078449,2.28573361,2.36614256,2.37280782,2.38639225,2.36436842,2.42840104,2.29165641,2.49326333,2.45449325,2.45682609,2.3905035,2.45361335,2.40719444,2.46467719,2.42467749,2.44086222,2.3669677,2.41785103,2.40786679,2.46303999,2.35924382,2.37934782,2.39711252,2.32413792,2.3067914,2.27213674,2.167742705,2.30482341,2.29074519,2.41468871,2.291202166,2.309410052
Non-Annex_I,Mexico,MEX,Mexico,1.B.1,Solid Fuels,CH4,fossil,31.49390031,31.35579555,32.61418857,37.73917026,44.8634689,44.32162176,38.13956076,44.5458284,43.38405669,43.86883753,42.95488612,42.12743031,44.8394602,52.32016323,53.90826084,52.73439519,46.40774798,49.54247974,37.91036733,42.81476908,53.88540132,44.08156338,33.57220589,35.28166229,43.45801601,38.22947015,40.79642454,43.66759986,47.64504477,43.91266222,48.83017471,47.55495803,42.37474155,67.37517147,78.11241065,70.52849807,81.40692692,84.77839741,78.60398394,64.74790996,80.09509843,109.243416,55.21217395,49.39137824,26.9079443,35.99967905,55.03569058,55.78833901,44.85461398,37.17977083,47.09775586,7.191763637,5.932292786,-4.853235021,-4.93444466
Non-Annex_I,Mexico,MEX,Mexico,1.B.2,Oil and Natural Gas,CH4,fossil,84.04726697,84.57681106,88.57945982,93.08507232,106.3158938,120.1116799,129.2951129,149.7186793,180.5265646,215.6651524,278.548533,322.1524983,363.9065319,361.7322867,366.7666708,363.4307865,339.3462314,351.9226862,351.4917437,352.2691053,360.5272325,374.5906562,372.8732197,378.0398926,377.1612627,443.8927478,525.7620221,650.1009017,654.2068935,575.4963694,594.5341984,530.7840535,471.6410268,504.7377669,449.763187,479.3643186,525.3877862,599.3252514,734.9920065,647.5186203,575.8993455,571.9843848,567.045121,560.2369824,539.4402429,494.4572191,467.1930734,424.5854385,406.4781186,385.3521515,394.2381517,397.0112146,403.0820947,417.3399982,396.425087
