Region,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,CO2,CH4,N2O,F-gas,CO2bio,Calculated_Total_GHG,Official_AR5_Total,Difference
02_CHN,1.A.1.a,Main Activity Electricity and Heat Production,5268367.98881,2772.9762331320003,49432.34171734,0.0,159952.2182223,5320573.306760472,5320573.306887541,0.00012706872075796127
02_CHN,1.A.1.bc,Petroleum Refining - Manufacture of Solid Fuels and Other Energy Industries,347640.73687140003,240.48911804399995,752.251410255,0.0,0.0,348633.477399699,348633.4773237,-7.599900709465146e-05
02_CHN,1.A.2,Manufacturing Industries and Construction,2763580.515165,4374.314298676,6408.837796579999,0.0,104044.5952,2774363.667260256,2774363.6671172,-0.00014305626973509789
02_CHN,1.A.3.a,Civil Aviation,81646.50278615,15.9867278228,605.2118389,0.0,0.0,82267.7013528728,82267.70135587,2.997199771925807e-06
02_CHN,1.A.3.b_noRES,Road Transportation no resuspension,779100.042917,5071.575145504001,19366.52587315,0.0,7087.747474240001,803538.143935654,803538.143961258,2.5604036636650562e-05
02_CHN,1.A.3.c,Railways,8456.157131,13.260532516,864.901685425,0.0,0.0,9334.319348941,9334.319349,5.8998921304009855e-08
02_CHN,1.A.3.d,Water-borne Navigation,76740.28156,199.533109328,539.55381604,0.0,0.0,77479.368485368,77479.36849,4.631991032510996e-06
02_CHN,1.A.3.e,Other Transportation,6617.401099,6.814104332,12.388495865,0.0,0.0,6636.6036991969995,6636.603699,-1.9699928088812158e-07
02_CHN,1.A.4,Residential and other sectors,563535.6659489999,40721.55116246,9004.476035515001,0.0,302187.9891128,613261.6931469749,613261.693151581,4.606088623404503e-06
02_CHN,1.A.5,Non-Specified,62496.3372,5134.315797912,739.984474925,0.0,1686.894634,68370.637472837,68370.63747978,6.942995241843164e-06
02_CHN,1.B.1,Solid Fuels,328367.9997,548636.2966,0.0,0.0,0.0,877004.2963,916192.6031,39188.306799999904
02_CHN,1.B.2,Oil and Natural Gas,9500.7471507,24723.0611166,18.919974185,0.0,8281.67674888,34242.728241485005,36008.6611772,1765.9329357149982
02_CHN,2.A.1,Cement production,789277.187688,0.0,0.0,0.0,0.0,789277.187688,789277.187688,0.0
02_CHN,2.A.2,Lime production,232500.0,0.0,0.0,0.0,0.0,232500.0,232500.0,0.0
02_CHN,2.A.3,Glass Production,1394.139605415,0.0,0.0,0.0,0.0,1394.139605415,1394.139605415,0.0
02_CHN,2.A.4,Other Process Uses of Carbonates,34588.970894113,0.0,0.0,0.0,0.0,34588.970894113,34588.970894113,0.0
02_CHN,2.B,Chemical Industry,200272.6239,3984.6711128,10096.1563851,114498.3413255,0.0,328851.7927234,310899.7927,-17952.000023400004
02_CHN,2.C,Metal Industry,231379.8928,2927.2712,0.0,18844.39232399,0.0,253151.55632399,253151.5563,-2.3989996407181025e-05
02_CHN,2.D,Non-Energy Products from Fuels and Solvent Use,22244.4696105,0.0,0.0,0.0,0.0,22244.4696105,22244.4696105,0.0
02_CHN,2.E,Electronics Industry,0.0,0.0,0.0,10182.40219677,0.0,10182.40219677,10170.11725,-12.284946769999806
02_CHN,2.F,Product Uses as Substitutes for Ozone Depleting Substances,0.0,0.0,0.0,178648.115079156,0.0,178648.115079156,178648.1151,2.0843988750129938e-05
02_CHN,2.G,Other Product Manufacture and Use,0.0,0.0,113.99556145,94864.0166745,0.0,94978.01223595001,94978.01222379999,-1.2150019756518304e-05
02_CHN,3.A.1,Enteric Fermentation,0.0,195070.39916,0.0,0.0,0.0,195070.39916,195070.399168,8.000002708286047e-06
02_CHN,3.A.2,Manure Management,0.0,30979.902621919995,19919.691734045,0.0,0.0,50899.594355965,50899.59434663,-9.334995411336422e-06
02_CHN,3.C.1,Emissions from biomass burning,0.0,10623.31891713848,2606.647697152856,0.0,212887.93860837,13229.966614291336,13229.9666102363,-4.055034878547303e-06
02_CHN,3.C.2,Liming,3787.142857,0.0,0.0,0.0,0.0,3787.142857,3787.142857,0.0
02_CHN,3.C.3,Urea application,13344.72615,0.0,0.0,0.0,0.0,13344.72615,13344.72615,0.0
02_CHN,3.C.4,Direct N2O Emissions from managed soils,0.0,0.0,167116.324572705,0.0,0.0,167116.324572705,167116.32460209398,2.938898978754878e-05
02_CHN,3.C.5,Indirect N2O Emissions from managed soils,0.0,0.0,42418.67548783501,0.0,0.0,42418.67548783501,42418.675472303,-1.5532008546870202e-05
02_CHN,3.C.6,Indirect N2O Emissions from manure management,0.0,0.0,2060.70462714,0.0,0.0,2060.70462714,2060.704626957,-1.8299988369108178e-07
02_CHN,3.C.7,Rice cultivations,0.0,228900.054796,0.0,0.0,0.0,228900.054796,228900.0548,4.0000013541430235e-06
02_CHN,4.A,Solid Waste Disposal,0.0,151001.33328,0.0,0.0,0.0,151001.33328,151001.33328,0.0
02_CHN,4.B,Biological Treatment of Solid Waste,0.0,258.803941536,183.704583395,0.0,0.0,442.508524931,442.5085251,1.6899997490327223e-07
02_CHN,4.C,Incineration and Open Burning of Waste,3346.86907907,2891.31314248,251.644617715,0.0,196.780492817,6489.826839265,6489.826840103,8.380002327612601e-07
02_CHN,4.D,Wastewater Treatment and Discharge,0.0,147232.80530168,28968.376493405,0.0,0.0,176201.181795085,176201.1817648,-3.0284980311989784e-05
02_CHN,4.E,Other,0.0,9104.898656,0.0,0.0,0.0,9104.898656,9104.898656000001,1.8189894035458565e-12
