4.B,CH4,11_CAS,8.886865400000001
4.C,CH4,11_CAS,1.40821506
4.D,CH4,11_CAS,8776.472920824
4.E,CH4,11_CAS,1910.047596352
1.A.1.a,CH4,12_MEA,1276.7675730628
1.A.1.bc,CH4,12_MEA,230.305910492
1.A.2,CH4,12_MEA,341.739818224
1.A.3.a,CH4,12_MEA,1.713573778
1.A.3.b_noRES,CH4,12_MEA,4270.198142056
1.A.3.c,CH4,12_MEA,0.8361265416
1.A.3.d,CH4,12_MEA,2.3916301752
1.A.3.e,CH4,12_MEA,1.523199608
1.A.4,CH4,12_MEA,4333.187359760001
1.A.5,CH4,12_MEA,75.2697582
1.B.1,CH4,12_MEA,11652.48567644
1.B.2,CH4,12_MEA,502423.117423136
2.B,CH4,12_MEA,1832.47246448
2.C,CH4,12_MEA,23.2968344
3.A.1,CH4,12_MEA,130004.803750976
3.A.2,CH4,12_MEA,5653.8582250360005
3.C.1,CH4,12_MEA,643.87402944648
3.C.7,CH4,12_MEA,9803.659809524
4.A,CH4,12_MEA,114955.266005216
4.B,CH4,12_MEA,884.1811923279998
4.C,CH4,12_MEA,11.77259622
4.D,CH4,12_MEA,43914.90127094
4.E,CH4,12_MEA,640.3981133479999
1.A.1.a,CH4,13_AFR,166.75617207788002
1.A.1.bc,CH4,13_AFR,40.250995176
1.A.2,CH4,13_AFR,886.2825805363601
1.A.3.a,CH4,13_AFR,0.5378265368
1.A.3.b_noRES,CH4,13_AFR,1392.9105334144
1.A.3.c,CH4,13_AFR,3.71594846
1.A.3.d,CH4,13_AFR,8.1732078764
1.A.3.e,CH4,13_AFR,0.4965357208000001
1.A.4,CH4,13_AFR,66371.17434306328
1.A.5,CH4,13_AFR,650.168366603644
1.B.1,CH4,13_AFR,144154.6849876
1.B.2,CH4,13_AFR,165344.507532904
2.B,CH4,13_AFR,99.42436
2.C,CH4,13_AFR,133.86788520000002
3.A.1,CH4,13_AFR,450569.228544232
3.A.2,CH4,13_AFR,17397.221469936
3.C.1,CH4,13_AFR,5456.3275379452
3.C.7,CH4,13_AFR,34512.849385084
4.A,CH4,13_AFR,60551.688910636
4.B,CH4,13_AFR,124.223076656
4.C,CH4,13_AFR,33.71782736
4.D,CH4,13_AFR,57340.518294584
4.E,CH4,13_AFR,5621.013709458
1.A.1.a,CH4,14_CLV,99.103875668
1.A.2,CH4,14_CLV,387.751004284
1.A.3.a,CH4,14_CLV,0.588270438
1.A.3.b_noRES,CH4,14_CLV,240.228781772
1.A.3.c,CH4,14_CLV,1.340778068
1.A.3.d,CH4,14_CLV,9.10441
1.A.4,CH4,14_CLV,2363.096972516
1.A.5,CH4,14_CLV,0.966739312
1.B.1,CH4,14_CLV,22186.816451408
1.B.2,CH4,14_CLV,2608.3036960400004
3.A.1,CH4,14_CLV,24284.440194000003
3.A.2,CH4,14_CLV,5393.444467039999
3.C.1,CH4,14_CLV,3810.16499556
3.C.7,CH4,14_CLV,71615.72741288
4.A,CH4,14_CLV,8981.953217440001
4.B,CH4,14_CLV,2.01940158
4.C,CH4,14_CLV,94.26994122
4.D,CH4,14_CLV,7241.68195912
4.E,CH4,14_CLV,78.473664332
1.A.1.a,CH4,15_SAS,986.9001078356
1.A.1.bc,CH4,15_SAS,34.88617454
1.A.2,CH4,15_SAS,3769.868717328
1.A.3.a,CH4,15_SAS,2.775670688
1.A.3.b_noRES,CH4,15_SAS,2536.702727412
1.A.3.c,CH4,15_SAS,16.028397644
1.A.3.d,CH4,15_SAS,18.594693124
