Region,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,Substance,Y_1970,Y_1971,Y_1972,Y_1973,Y_1974,Y_1975,Y_1976,Y_1977,Y_1978,Y_1979,Y_1980,Y_1981,Y_1982,Y_1983,Y_1984,Y_1985,Y_1986,Y_1987,Y_1988,Y_1989,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022,Y_2023,Y_2024
07_NAM,3.C.2,Liming,CO2,3105.2476192,3105.2476192,3105.2476192,3105.2476192,2846.5380953000004,3197.4904766,3183.0333336999997,2905.1523813,3059.9904759,3322.9428573,3540.7428571,3126.7238096,2866.5476188,3072.4047618,3169.676191,2819.4571428,2609.6190477,2784.62381,2879.6428574,2868.3809522,2810.0285721,2923.8000005000004,3006.6666674,3165.6428571,3013.1095244000003,3238.7142856,3387.2142857000003,3391.2476189999998,3258.252381,3201.4190479999997,3112.3714294,3213.885714,3281.7714290000004,3422.100001,3220.171429,2837.2666675,3259.038096,3140.657143,2749.057143,2852.719048,3235.571429,3423.7761920000003,3460.9666669999997,3544.776191,3504.442858,3719.728572,3608.314287,3708.833334,3733.661906,3844.604762,3700.9761909999997,3401.3047619999998,3633.719048,4357.377877,4332.936284
07_NAM,3.C.3,Urea application,CO2,729.9284387299999,729.9284387299999,729.9284387299999,729.9284387299999,824.2141359000001,1140.3855071,1350.7997547,1465.3568761000001,1649.9996999,1693.3711204,1817.5139557,1847.8425212,1902.5282257000001,2431.4709863999997,2492.5995468,3003.3137393,2886.0851892,2904.1566149,2946.7423214,3189.5279913,2939.3566084999998,3072.4565839,3330.1708227,3489.5136513,3535.3993572,3556.2993530999997,3552.0564969999996,4007.613557,4037.627837,4160.984957000001,4360.084922,4533.256318,4719.941998,4794.270557,4479.670614000001,4595.170593,5075.870505999999,4788.456273,4652.213439,4965.870525,5478.156147,5917.998924,6328.770278,6008.827479,6279.42743,6558.984521,6528.34167,6712.984493,6542.170239000001,6988.613015000001,7228.098685999999,6759.813056,7195.727263999999,7292.275817,7390.734662000001
07_NAM,4.C,Incineration and Open Burning of Waste,CO2,83.137992225,84.557115853,85.979215457,87.384119597,88.744111004,90.03972370700001,91.290867116,92.48493505100001,93.63186956700001,94.747219483,95.84688192399999,97.08959671400001,98.32244176799999,99.58459861499999,100.92727044700001,102.383862354,103.848035819,105.425044819,107.070782739,108.722330863,108.896284297,117.94605238599999,127.481625307,135.62652003,153.815901565,178.267568805,158.340932129,140.198376311,167.37017791,149.056530259,179.401290408,191.517411225,197.254520216,153.39733843000002,172.384667357,170.618576574,157.515829058,143.606364213,157.21757331,142.93090056100002,146.857075711,138.359067005,96.827947836,102.463883056,121.652284956,138.636765256,140.11662835599998,141.181598836,130.458774355,127.358254921,126.061828396,113.431762444,113.431383835,107.881340775,102.606391052
07_NAM,5.B,Fossil fuel fires,CO2,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0
08_LAM,1.A.1.a,Main Activity Electricity and Heat Production,CO2,69628.32944747701,69630.624093812,74055.340158415,77385.15595401601,78508.952054536,84260.439443049,87885.674711352,94479.795375901,103950.124001708,112543.564446773,121200.239514263,120560.999451465,123145.591619188,127661.158464922,129201.287430847,127909.835427017,144730.147595629,149614.925766581,160866.18143729502,166081.876888918,157770.708952631,165389.116855058,167636.032842323,171659.887455025,186970.11708848798,191854.594217489,201556.145566484,220818.28528798698,249437.610499509,255327.127145682,266181.619344117,274437.66195930797,277155.232555776,290133.588984757,296317.334945851,309646.342175743,316378.031768291,327028.936120252,336097.061347639,334093.21375581104,363705.739482146,371253.689536684,411202.851037429,428492.244566507,444592.466208063,459948.495222962,445921.997829249,428042.859942496,407252.534471485,411321.882019195,367948.37956124597,416369.647548515,348338.451571892,372721.835430382,382215.99040065904
08_LAM,1.A.1.bc,Petroleum Refining - Manufacture of Solid Fuels and Other Energy Industries,CO2,61486.65365437,61486.65365437,65441.13441917,73592.35278916999,72175.61764545,59312.091273230006,60807.319575149995,68193.29557126,70473.69368817,75354.39743955,82132.19319562,83437.00035872,85554.52368745,79632.62724148,85387.4438708,86683.88688809,90237.71635373,85532.92603549,86800.87687798,92714.48792651,89632.86772209,92150.95528796,98222.35457866002,101351.76152870999,104826.70900513,102511.45960074,111018.39010565,125601.29111451001,131148.87016304,127106.49224614,138869.126164314,138923.727122419,138632.788015175,146530.768338086,156013.318133511,156578.438235908,157972.876242786,159207.017050328,167414.800642978,169627.08567868298,159152.329573942,161131.180367293,162308.823590927,161232.549739666,158824.309522383,153211.01152251,145046.121407415,137615.0158829736,132710.424287311,127260.948305667,113671.186366668,114617.751042472,116540.230568439,114530.90284228,118396.819865786
08_LAM,1.A.2,Manufacturing Industries and Construction,CO2,116361.031836529,116361.05738273199,119873.65456879,132169.536837175,142218.798006832,146960.034432049,161672.099631935,168850.097190381,179649.998987557,188765.42716187699,189094.039887923,179529.474180563,177711.76289746398,180305.02711793198,180582.126598473,180515.25944503,175683.661156279,193007.80404403,187451.646547115,193914.723517183,187205.62228314902,189557.053551096,187968.632876906,191170.774143761,199252.928850789,205395.913922881,223537.34288112202,238547.46889710802,238862.05198884397,231830.938058622,241044.53610415902,236564.933710287,241522.632385772,240416.146009883,252394.13237128,258217.875359843,266683.601678676,259367.814397904,264152.404969738,234734.99690113802,279539.604597554,298074.262513584,284370.099828703,294115.9566542,278960.359518005,272378.780141022,250730.20323904,263577.134055767,246762.820226284,239038.858205055,219197.035989061,224902.119712477,242523.51268356398,239380.014841439,242588.292259521
08_LAM,1.A.3.a,Civil Aviation,CO2,3471.530033594,3471.629831436,3766.2390947460003,4202.33634278,4770.574801459,4999.967040373001,5432.359079212,5638.732252748,5897.751379824,6503.148717095,6769.920129037001,7082.0839578390005,7306.490924794,7220.841357081999,6675.098597397,6760.66717049,7391.785084879,7604.731006455,7332.814552448,7649.762921701001,7605.6570092540005,7794.939964112,7738.984783375,8089.203192879001,8314.509318646,9751.453498253,10768.955391894,12062.361191630001,13041.123556149998,12203.735193906,12496.676800319,13033.371466424001,12288.981645591,9402.56457135,10261.758628095,11240.082898817,10832.377807686,11657.922541151,12510.290260861,12370.643169240999,14364.312407993999,15657.396240463,16255.649579070001,16197.301801901,16338.660474909,17272.833375959,15937.651293299,15970.210443741,16515.832956345,16566.149484696,8869.107731222,11254.74595046,14707.876361280001,16013.471623592,16717.600505620998
08_LAM,1.A.3.b_noRES,Road Transportation no resuspension,CO2,122684.30499022799,122684.442681947,132690.478311315,147062.224883646,152959.587155147,159776.504254021,169765.751454176,175874.450339627,187874.265536663,198958.712422349,204815.321520763,211192.46287367502,211311.884120346,201478.309269244,202840.583076334,202974.496538242,235840.883584928,241027.397001853,246719.34350583798,255924.23111416702,266066.08895947,278741.365095463,285710.724580948,297581.423558103,310074.485094681,321082.471792172,342063.414699585,355182.562427641,368668.824957696,364991.53221994,368367.736002315,373040.74874927703,378401.122720916,382518.70800283196,404284.300910829,419931.30769385,439406.714422113,464191.738746637,482394.415025398,476795.874416599,501363.387536236,529817.959720673,552417.555074864,564321.965347247,568610.574123434,560650.534427692,567735.629165252,567455.306348462,553707.6344191721,561675.991157262,462789.376352748,514839.22990133,566482.867522219,574834.489633235,577745.5266656961
08_LAM,1.A.3.c,Railways,CO2,2189.55545044,2189.55545044,1991.29282866,2319.1515434,2914.5019051199997,2907.69528802,3179.90648247,3026.60145565,2976.397122,3121.0665108900002,3064.50871071,2975.1477783,2689.5304134,2512.34100224,2579.0994525300002,2498.1524675299997,4097.35757891,4524.30937685,3795.86431513,4201.01483559,3914.92097941,3526.12217238,3584.3923539,3660.2512571,3350.4827056799995,3222.00590706,3249.1633587799997,3295.3843158199998,3015.91353202,2961.12713722,3141.72115344,3228.5368862299997,3256.6484870299996,3589.1665249099997,3791.2945493,3838.6560504999998,3896.40863485,3870.56603666,3987.64782971,3920.69667144,4926.4058916799995,5141.6253508400005,5118.64983744,5213.98732134,5096.53274524,4993.6185663,4980.428054479999,5177.85816567,5348.39130631,5174.16785031,4262.11547019,4139.45791951,4874.77273694,4980.336710722,5009.426602126
