Region,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,Substance,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022,Y_2023,Y_2024
08_LAM,2.G,Other Product Manufacture and Use,HCFC-142b,0.03957828632,0.05570882025,0.06862820358,0.07402189949999999,0.0842019292,0.0870044059,0.100321408,0.1152592909,0.1224752783,0.1324826617,0.1646801722,0.1833797739,0.1715452179,0.1855423619,0.22666853680000001,0.2613455581,0.219997744,0.218350632,0.216703535,0.21694641499999998,0.21694641499999998,0.21694641499999998,0.21694641499999998,0.21694641499999998,0.21694641499999998,0.21694641499999998,0.21694641499999998,0.21694641499999998,0.21694641499999998,0.21694641499999998,0.21694641499999998,0.21694641499999998,0.21694641499999998,0.21694641499999998,0.21694641499999998
08_LAM,2.G,Other Product Manufacture and Use,SF6,0.031129316499999997,0.0353211045,0.0363339555,0.033020551499999995,0.0309298935,0.031766205,0.029925314,0.030546102999999998,0.034695149,0.036194379,0.031107235,0.028626802,0.032253933,0.033580743,0.029560329,0.02957479,0.028904700999999998,0.030384613,0.032764525,0.032844436,0.034104348,0.036182286,0.038180223,0.044652160999999996,0.052900553,0.047062035,0.044654446,0.047119613000000005,0.049273432,0.051466064,0.053688919,0.056115317,0.058695801,0.061105711,0.063600911
09_WEU,2.B,Chemical Industry,C2F6,0.081917277,0.073487316,0.07643787299999999,0.098997857,0.086102143,0.002046429,0.00087,0.000377809,0.000426732,0.000196381,0.000231906,0.000556039,0.000588625,0.000672467,0.001089086,0.001331105,0.001089086,0.000658638,0.00014089,0.000138297,0.000467616,0.001054512,0.001028581,0.001702777,0.000898928,0.001547194,0.001642273,0.002826438,0.000446007,0.001158235,0.000730379,0.001175521,0.001418693,0.001505512,0.001670508
09_WEU,2.B,Chemical Industry,C3F8,0.000225853,0.000225935,0.00022711,0.000563929,0.001015071,0.001466214,0.001579,0.00162,0.00303,0.001489,0.001664,0.005987,0.0061285,0.00627,0.010154499,0.012411054,0.010154499,0.006141054,0.001313638,0.00128946,0.004359987,0.009832134,0.00959036,0.015876478,0.008381491,0.014425835,0.015312339,0.026353342,0.004158509,0.010799229,0.006809961,0.010960411,0.013227712,0.014037207,0.015575604
09_WEU,2.B,Chemical Industry,C4F10,0.002867,0.002741,0.002972,0.002938,0.003414,0.004183,0.00383,0.002373,0.001821799,0.001854331,0.002000726,0.0,0.0,0.00439,0.009636,0.003876049,0.003834162,0.005150311,0.052093751,0.033935433,0.002638951,0.010067691,0.009752021,0.007513695,0.00947195,0.007669528,0.022718782,0.007229038,0.002846847,0.002548185,0.007269911,0.00651318,0.00773529,0.009464326,0.010939898
09_WEU,2.B,Chemical Industry,C5F12,0.038377,0.036879,0.041615,0.039946,0.049586,0.054312,0.051171,0.021461,0.02411917,0.024549869,0.026488017,0.0056,0.006,0.004224,0.007167,2.42584e-06,1.32719e-06,1.14661e-06,1.46703e-06,8.20065e-06,2.89219e-06,1.27097e-06,1.29361e-06,9.57977e-07,5.58797e-07,4.78082e-07,6.21997e-07,1.20143e-07,1.17984e-07,1.3104e-07,6.81143e-06,3.41678e-06,4.51638e-06,5.97817e-06,7.25886e-06
09_WEU,2.B,Chemical Industry,C6F14,0.031052,0.029461,0.029881,0.027587,0.032069,0.032919,0.030791,0.02345,0.017440599,0.017752038,0.019153515,0.0214,0.004,0.016675,0.017237,0.012459525,0.006816665,0.005889205,0.007534939,0.015285948,0.00593938,0.005739802,0.001833989,0.005889817,0.002870075,0.002455511,0.003194683,0.000617077,0.000605988,0.000673045,0.001039187,0.001085883,0.001245848,0.001436782,0.001612232
09_WEU,2.B,Chemical Industry,CF4,0.000107277,0.000107316,0.000107873,0.000267857,0.000482143,0.000696429,0.00075,0.000377809,0.000426732,0.000196381,0.000231906,0.000556039,0.000588625,0.000672467,0.001089086,0.001331105,0.001089086,0.000658638,0.00014089,0.000138297,0.000467616,0.001054512,0.001028581,0.001702777,0.000898928,0.001547194,0.001642273,0.002826438,0.000446007,0.001158235,0.000730379,0.001175521,0.001418693,0.001505512,0.001670508
09_WEU,2.B,Chemical Industry,HFC-125,0.0,0.001,0.00419,0.013989999999999999,0.034370000000000005,0.050766000000000006,0.03931,0.07427,0.06606000000000001,0.062201,0.039287,0.021717,0.04743,0.014241,0.022276732,0.032168666,0.028474588000000002,0.03191487,0.027679884,0.031055391,0.036513707,0.027908662,0.028842739,0.022164885,0.027371687999999998,0.037932671,0.039420079999999996,0.041245332,0.03629559,0.042214149,0.02357774,0.009018594,0.008836987000000001,0.00714454,0.0062075130000000004
09_WEU,2.B,Chemical Industry,HFC-134a,0.0,0.001,0.023967,0.035108,0.080901,0.089157,0.12679,0.18718,0.07623,0.059199,0.022449999999999998,0.025111,0.026901,0.021732,0.040039912,0.031658175999999996,0.029113609999999998,0.016241729,0.015315818999999998,0.020555189,0.012872466999999999,0.007876985000000001,0.0072071,0.008312166,0.008858785000000001,0.015650098,0.012994371999999999,0.008623631,0.0065254938,0.012824128,0.007046093200000001,0.0056597439,0.0053711606,0.0049947156000000005,0.004662201499999999
